"","X10.T0","X2.T0","X4.T0","X6.T0","X8.T0","AveExpr","F","P.Value","adj.P.Val"
"DGDG(14:0/16:1)",-410250,-405180,-364080,-410790,-414730,163160,4.4313,0.0037347,0.40399
"DGDG(31:1)",-421330,-396830,-322500,-424810,-453220,307080,4.1636,0.0052809,0.40399
"PC(0:0/18:1)_B",-4528300,-3711700,-4020000,-4992300,-4213200,7102500,3.3005,0.016821,0.75906
"PC(16:0/18:1)",18917000,-7700000,20283000,2668300,14362000,75214000,3.1471,0.020803,0.75906
"TG(47:1)",65000,-90000,836670,96462,-549390,3171900,2.8618,0.031022,0.75906
"PC(17:1/18:1)",16317000,-5766700,5050000,-275760,660600,49886000,2.7891,0.034379,0.75906
"TG(48:0)",-540000,1108300,1251700,2237400,457680,3547500,2.782,0.034728,0.75906
"Cer(d18:1/26:1(2OH))",-950000,3033300,2483300,4056300,-2068800,17586000,2.6108,0.044293,0.8471
