Name,Count_-2_pre,Count_-6_pre,Count_-2_2,Count_-6_2,Count_-2_4,Count_-6_4,Count_-2_6,Count_-6_6,Count_-2_8,Count_-6_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-2_2,Mean_-6_2,Mean_-2_4,Mean_-6_4,Mean_-2_6,Mean_-6_6,Mean_-2_8,Mean_-6_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-2_2_vs_-6_2,P_value_A_-2_4_vs_-6_4,P_value_A_-2_6_vs_-6_6,P_value_A_-2_8_vs_-6_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-2_2_vs_-6_2,Flag_A_-2_4_vs_-6_4,Flag_A_-2_6_vs_-6_6,Flag_A_-2_8_vs_-6_8,Flag_A_-2_10_vs_-6_10
Unknown 004,3,3,3,3,2,3,3,3,3,3,3,3,25.755295571304,26.056471209527,26.2367992993712,26.0207493874369,26.6018003548072,26.1796303105645,26.5209066834628,26.3681994954738,26.6110175174427,25.9784387043016,26.3277568008482,25.8724920401028,0.219564226810202,0.37465718255175,0.127223967992682,0.528543462754167,0.0142814244055721,0.0689774942647911,0,0,0,0,1,0
Unknown 005,3,3,3,3,2,3,3,3,3,3,3,3,24.4312993662134,25.2207802364894,24.1936929646099,25.2645625406955,25.2604361187198,22.5794566280432,24.6344845935177,24.0967255637075,23.1474822944722,23.9183982415178,25.2069685855995,23.8653024477702,0.585748323828074,0.460976170063857,0.106690591701032,0.709975856239381,0.594537284791322,0.357283668491158,0,0,0,0,0,0
Unknown 006,3,3,3,3,2,3,3,3,3,3,3,3,25.7850557161056,25.5784294805541,25.7661062963087,25.8128487106809,25.9607811537599,25.8537503344248,25.8709228840875,26.1484040177777,26.4739396957811,25.9427422572476,26.3154257468909,25.9131017137311,0.585214113497287,0.901431695687782,0.799865679473926,0.464767257928475,0.16812261083604,0.292269766431824,0,0,0,0,0,0
Unknown 007,3,3,3,3,2,3,3,3,3,3,3,3,24.6269370719443,24.2804873088671,24.9085807859436,24.5621310228664,24.7821960311633,24.4357462680861,24.786968542123,24.4405187790458,24.6060821280696,24.2596323649924,24.7259912599883,24.3795414969111,0.287092555051232,0.287092555051232,0.339831608473618,0.287092555051232,0.287092555051232,0.287092555051232,0,0,0,0,0,0
Unknown 008,3,3,3,3,2,3,3,3,3,3,3,3,25.8353730271725,25.5784294805541,25.7661062963087,25.8128487106809,25.9607811537599,25.8537503344248,25.8709228840875,26.1484040177777,26.4739396957811,25.9427422572476,26.315425746891,25.9131017137311,0.498275644887955,0.901471946062501,0.799945992506766,0.464948455257549,0.168290190875236,0.292463173692409,0,0,0,0,0,0
Unknown 009,3,3,3,3,2,3,3,3,3,3,3,3,23.9257941586733,24.3286616193707,24.4871078372349,24.1697671722173,25.2622580732589,24.929748457959,24.5532832256749,24.8060029562539,24.7490851098939,24.3548191151976,24.7967430160423,24.2629770060577,0.213678782182402,0.324218388244596,0.354917559075117,0.430608796403448,0.223290598881723,0.103677039667531,0,0,0,0,0,0
Unknown 010,3,3,3,3,2,3,3,3,3,3,3,3,23.2249228647217,23.0922473836363,21.7174455285348,21.5847700474494,21.5429770340344,21.410301552949,21.3234811622419,21.1908056811565,21.4500098725548,21.3173343914695,21.1010990665039,20.9684235854185,0.830645917090377,0.830645917090377,0.848280070473373,0.830645917090377,0.830645917090377,0.830645917090377,0,0,0,0,0,0
Unknown 011,3,3,3,3,2,3,3,3,3,3,3,3,25.3046119710451,25.2904076663548,25.5117488106879,25.4975445059976,25.7148003285194,25.7005960238291,25.710546625337,25.6963423206466,25.4839297314892,25.4697254267989,25.3079212964311,25.2937169917407,0.971757199751259,0.971757199751259,0.974737746102281,0.971757199751259,0.971757199751259,0.971757199751259,0,0,0,0,0,0
Unknown 012,3,3,3,3,2,3,3,3,3,3,3,3,22.4453039857185,22.7449902269127,22.5181057156914,22.0814688134992,22.6380279797212,22.542574634772,22.2495524376158,22.171523779292,22.1881371502624,22.2615480261529,22.1162814332321,22.4708913009798,0.420618281708839,0.244355229006884,0.817352051033312,0.832811595877383,0.842563621632507,0.341984488969517,0,0,0,0,0,0
Unknown 013,3,3,3,3,2,3,3,3,3,3,3,3,22.1019586756413,22.6730180216997,22.5466099388485,22.5504531426801,23.3369460116872,22.6357824114373,22.9499609486118,22.8163449148007,22.4394229714685,22.595791453192,22.6722721428073,22.4732734011565,0.212017285620772,0.993181275047695,0.171977303930223,0.766595003085541,0.728402033218651,0.658809003780586,0,0,0,0,0,0
