Name,Count_-2_pre,Count_-6_pre,Count_-6_2,Count_-2_2,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-2_pre,Mean_-6_pre,Mean_-6_2,Mean_-2_2,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-2_pre_vs_-6_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-2_pre_vs_-6_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,,,,negaive means -6 is significantly larger
DL-Stachydrine,3,1,3,3,3,1,3,3,3,3,3,24.9655632,24.59498977,24.25470897,24.69101269,24.62770912,25.64366158,24.69796628,24.26640469,24.26791059,24.12034445,24.43120145,0.506908548,0.274325408,0.101082302,0.996937712,0.432259375,0,0,0,0,0,,,,
Glycerophosphocholine,3,1,3,3,3,1,3,3,3,3,3,19.34723556,19.6907759,17.68234752,18.55957955,18.7870832,17.25326772,18.57622441,17.96264813,17.89524895,18.29076433,17.53718311,0.579240546,0.056380177,0.043231963,0.877239717,0.096821204,0,0,-1,0,0,,,,
HOTrE,3,1,3,3,3,1,3,3,3,3,3,23.32572367,23.43954823,23.47177724,22.54691772,22.85821122,23.09946482,22.35934755,22.72983125,22.920581,23.15138083,22.98719254,0.804423589,0.009801297,0.119613832,0.558864475,0.614426324,0,1,0,0,0,,,,
Hypoxanthine,3,1,3,3,3,1,3,3,3,3,3,26.13566601,27.05490169,24.50557011,23.86668914,24.91988823,24.39231044,24.73215451,24.35767252,24.68897117,24.90635393,24.39621528,0.294798319,0.302883446,0.694630124,0.589079296,0.408170658,0,0,0,0,0,,,,
LL-2,6-Diaminheptanedioic acid,3,1,3,3,3,1,3,3,3,3,3,23.8454805,23.64319376,22.46073092,23.28025096,23.32837839,23.24141322,22.73345744,22.5258632,22.41517761,22.0961178,22.73748464,0.616001517,0.009062061,0.216265108,0.697538958,0.034427009,0,-1,0,0,-1,,,
L-Pyroglutamic acid,3,1,3,3,3,1,3,3,3,3,3,23.94304207,23.61138448,23.12200739,23.9061499,23.63186838,23.34073911,23.14500683,23.0840986,23.11853949,22.87629164,23.53256689,0.429594191,0.014591453,0.639171404,0.906848157,0.036356547,0,-1,0,0,-1,,,,
N-alpha-Acetyl-L-Lysine,3,1,3,3,3,1,3,3,3,3,3,28.44080459,27.77628818,27.65255925,28.61457474,28.10228837,29.11782059,28.47295841,28.20993658,28.15979016,28.35391806,27.11404577,0.137345476,0.005143626,0.148642407,0.870042847,0.000667419,0,-1,0,0,1,,,,
N-Methyl-D-Aspartic acid,3,1,3,3,3,1,3,3,3,3,3,24.97551279,25.04119848,24.17985508,24.11416939,24.40826522,24.47911166,24.41342597,24.67073853,24.60505284,24.90655013,24.97223581,0.880093232,0.831118981,0.880093232,0.831118981,0.831118981,0,0,0,0,0,,,,
Oleamide,3,1,3,3,3,1,3,3,3,3,3,21.3895197,22.37357392,22.72979642,21.7457422,21.49638131,22.29301117,21.30895695,22.45962741,21.47557319,20.48763281,21.47168703,0.175972966,0.061744663,0.175972966,0.061744663,0.061744663,0,0,0,0,0,,,,
Senecionine,3,1,3,3,3,1,3,3,3,3,3,21.41971399,20.99274364,21.13514873,21.56211908,19.25007989,19.25132805,19.67829841,21.14137945,21.56834981,22.44096617,22.01399581,0.897117804,0.85494019,0.897117804,0.85494019,0.85494019,0,0,0,0,0,,,,
Sugars - Oligosaccharide (Tetraose),3,1,3,3,3,1,3,3,3,3,3,19.75762696,17.97797656,16.69255735,20.34251856,21.10955401,20.3347383,18.33238321,17.8458617,16.62460584,17.8966263,18.95783999,0.336510523,0.010314527,0.281180916,0.350606569,0.415915852,0,-1,0,0,0,,,,
Sugars - Trisaccharide1,3,1,3,3,3,1,3,3,3,3,3,24.68847842,23.87549738,23.44292503,24.33636532,23.99620214,24.2548024,23.94183575,24.09318337,23.9804997,24.61837671,23.54158838,0.306887849,0.119541967,0.690370373,0.838998073,0.064445755,0,0,0,0,0,,,,
