Name,Count_-6_pre,Count_-2_pre,Count_-6_2,Count_-2_2,Count_-2_4,Count_-6_4,Count_-6_6,Count_-2_6,Count_-6_8,Count_-2_8,Count_-2_10,Count_-6_10,Mean_-6_pre,Mean_-2_pre,Mean_-6_2,Mean_-2_2,Mean_-2_4,Mean_-6_4,Mean_-6_6,Mean_-2_6,Mean_-6_8,Mean_-2_8,Mean_-2_10,Mean_-6_10,P_value_A_-6_pre_vs_-2_pre,P_value_A_-6_2_vs_-2_2,P_value_A_-2_4_vs_-6_4,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,Flag_A_-6_pre_vs_-2_pre,Flag_A_-6_2_vs_-2_2,Flag_A_-2_4_vs_-6_4,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,,,,Negaive means -6 is significantly larger
Unknown 002,3,3,3,3,3,3,3,3,3,3,3,3,21.3368314,21.14346672,20.97628817,20.78292349,20.81376713,21.00713181,20.70379088,20.5104262,20.89290294,20.69953826,19.36082908,19.55419376,0.773719644,0.773719644,0.773719644,0.773719644,0.773719644,0.773719644,0,0,0,0,0,0,,,,
Unknown 003,3,3,3,3,3,3,3,3,3,3,3,3,21.94386838,21.80702071,21.58980994,21.45296227,21.1253495,21.26219717,21.08211299,20.94526532,20.63716842,20.50032075,19.7154676,19.85231527,0.845094832,0.845094832,0.845094832,0.845094832,0.845094832,0.845094832,0,0,0,0,0,0,,,,
Unknown 004,3,3,3,3,3,3,3,3,3,3,3,3,20.47063533,21.71768867,23.11068396,23.2538784,18.00231608,22.31962105,18.72804368,23.21738174,23.27846425,22.89060869,23.0529938,22.75566779,0.51598035,0.940281435,0.031615384,0.025973309,0.839259325,0.876408452,0,0,-1,-1,0,0,,,,
Unknown 005,3,3,3,3,3,3,3,3,3,3,3,3,17.9436666,18.64011312,17.42026909,18.13795589,17.94821364,18.30130136,17.50580646,18.8805773,17.62562385,18.81346329,17.59325229,18.56976236,0.577883733,0.566418485,0.777318914,0.276467796,0.345541457,0.436680747,0,0,0,0,0,0,,,,
Unknown 006,3,3,3,3,3,3,3,3,3,3,3,3,20.28966921,20.29998171,19.98066643,19.17861565,20.34926341,19.74574613,19.29689196,19.7641902,19.3323022,18.76008186,19.14661005,20.16165814,0.990964993,0.38233427,0.509473822,0.608855253,0.531486208,0.271186179,0,0,0,0,0,0,,,,
Unknown 007,3,3,3,3,3,3,3,3,3,3,3,3,22.18958048,22.39216883,22.54029933,22.22362001,22.22934094,22.3838576,22.52338547,22.32515179,22.35637785,22.30120284,22.37807247,22.09026061,0.431753944,0.223352991,0.547654753,0.441592369,0.829436395,0.267152931,0,0,0,0,0,0,,,,
Unknown 008,3,3,3,3,3,3,3,3,3,3,3,3,22.18958048,22.39216883,22.54029933,22.22362001,22.22934094,22.3838576,22.52338547,22.32515179,22.35637785,22.30120284,22.37807247,22.09026061,0.431753944,0.223352991,0.547654753,0.441592369,0.829436395,0.267152931,0,0,0,0,0,0,,,,
Unknown 009,3,3,3,3,3,3,3,3,3,3,3,3,22.76115868,23.07599141,23.16529689,22.77570518,22.76422552,23.01791182,22.94947232,23.1044613,23.23617008,23.02224882,23.06560093,22.67538725,0.147528663,0.076366481,0.239592394,0.46840355,0.319335649,0.07592798,0,0,0,0,0,0,,,,
Unknown 010,3,3,3,3,3,3,3,3,3,3,3,3,22.68523673,22.17489171,22.29047637,22.15511106,22.6712441,22.66777888,22.3370372,22.15352192,22.20872075,22.23627666,22.56673187,22.17995187,0.166943142,0.708713599,0.992358339,0.612965536,0.939293897,0.290782225,0,0,0,0,0,0,,,,
Unknown 011,3,3,3,3,3,3,3,3,3,3,3,3,22.02806648,22.0396042,22.57638622,22.0043148,22.30466192,22.50114492,22.46032259,22.18285922,22.12941191,22.13861785,22.03845793,21.76786693,0.969790282,0.06986361,0.520790394,0.366579054,0.975893475,0.378369483,0,0,0,0,0,0,,,,
Unknown 012,3,3,3,3,3,3,3,3,3,3,3,3,22.02806648,22.0396042,22.57638622,22.0043148,22.30466192,22.50114492,22.46032259,22.18285922,22.12941191,22.13861785,22.03845793,21.76786693,0.969790282,0.06986361,0.520790394,0.366579054,0.975893475,0.378369483,0,0,0,0,0,0,,,,
Unknown 013,3,3,3,3,3,3,3,3,3,3,3,3,22.20236371,21.24535134,21.28306252,21.35590703,20.19136945,19.05393121,21.38042744,20.5384239,21.4708549,20.57834348,21.18406261,20.52096038,0.421425924,0.950871018,0.34066153,0.478682303,0.452996252,0.576142626,0,0,0,0,0,0,,,,
Unknown 014,3,3,3,3,3,3,3,3,3,3,3,3,24.13208269,24.13089351,23.80370376,23.43047648,24.14962482,24.07631348,24.12333351,23.48964472,24.99982833,23.98059892,24.97586354,23.7877447,0.999033459,0.704233086,0.940473163,0.520424026,0.304573202,0.233217255,0,0,0,0,0,0,,,,
Unknown 015,3,3,3,3,3,3,3,3,3,3,3,3,23.61190383,24.09344383,24.1743163,23.42997223,24.16261814,23.81896977,24.02647527,23.61730045,24.35456215,23.69887941,23.85513945,23.04261167,0.325742746,0.134037204,0.480916938,0.402367599,0.184579058,0.103425714,0,0,0,0,0,0,,,,
Unknown 016,3,3,3,3,3,3,3,3,3,3,3,3,21.36574907,21.52103146,21.13756897,21.03194621,21.34224287,21.47230319,21.61921787,21.37386082,21.61857797,21.21543599,21.61896625,21.13663604,0.6153202,0.732135288,0.673601201,0.429040838,0.198709633,0.126879514,0,0,0,0,0,0,,,,
Unknown 017,3,3,3,3,3,3,3,3,3,3,3,3,22.70541881,22.84914199,22.44919316,22.59291634,23.01835557,22.87463239,22.62574629,22.76946947,22.73841407,22.88213725,22.66854103,22.52481785,0.793588148,0.793588148,0.793588148,0.793588148,0.793588148,0.793588148,0,0,0,0,0,0,,,,
