m/z,RT [min],Name,Tags,RefMet Nomenclature,Main class, Sub class,Formula,Annot. DeltaMass [ppm],Calc. MW,Reference Ion,Wein_Blank 01,Wein_Blank 02,Wein_Blank 03,Pooled QC1,Pooled QC2,Pre_2_1,Pre_2_2,Pre_2_3,Pre_6_1,Pre_6_2,Pre_6_3,A_2_1,A_2_2,A_2_3,A_6_1,A_6_2,A_6_3,B_2_1,B_2_2,B_2_3,B_6_1,B_6_2,B_6_3,C_2_1,C_2_2,C_2_3,C_6_1,C_6_2,C_6_3,D_2_1,D_2_2,D_2_3,D_6_1,D_6_2,D_6_3,E_2_1,E_2_2,E_2_3,E_6_1,E_6_2,E_6_3
182.99342,6.406,Unknown 123,MS2 Available,,,,,,,,172679.7229,51595.32541,44754.04577,3559729.73,3623254.782,85109.25882,45003.91238,370943.9604,2873067.951,2357130.274,12527969.15,498031.8517,2893079.967,2550007.731,2402268.098,2584253.061,63396.00084,45271.2156,21286042.99,55589211.38,12419332.69,3758870.948,3289948.44,1094738.834,2689214.429,302281.2354,4142054.033,11633083.41,5451737.89,2315986.449,1008002.848,4415318.407,15062468.52,4043702.781,3777615.29,797192.4385,1016644.51,8748744.848,158964.6794,115868.5167,97647.58386
128.03504,6.413,Unknown 124,MS2 Available,,,,,,,,782476.4589,437957.2923,5586668.083,8743030.953,7500890.501,13879054.68,24075176.07,8522381.769,24017582.62,15881971.14,64125044.57,3285889.915,3901347.364,5335389.391,5644580.134,3683996.897,3642646.853,4143646.902,16074695.84,12124707.16,6898832.557,9814723.669,4674662.538,3845931.596,4689695.896,4971822.689,5164640.287,13342454.41,8717651.76,4987890.594,3107708.861,5530518.738,12925217.83,4477762.352,6145402.19,3370698.953,4481913.893,6130468.253,4851342.99,2804123.166,5176134.659
222.13493,6.437,Unknown 125,MS2 Available,,,,,,,,27557.6536,41644.57962,36966.7676,4854171.609,4480108.703,4162855.653,8019780.299,5230074.713,4164587.277,6577668.654,10213937.56,4760765.273,3617321.811,3985825.448,4242554.909,3987261.426,3895155.076,4602502.455,9207118.681,8713293.206,5238817.767,6099016.839,3807357.832,3883795.451,5050720.117,3572206.938,4850761.517,7879033.333,6541873.255,2473597.653,4020581.612,4547615.332,6812528.843,4881507.865,5995160.156,4341632.771,5016275.52,4273446.492,5569497.814,3784634.353,6986181.87
229.01795,6.478,Unknown 126,MS2 Available,,,,,,,,19802.85747,28543.67766,26217.13864,2767996.07,2931523.975,1741609.911,3699941.215,1779563.001,1292136.702,2069695.901,4563752.348,3020923.044,1341630.756,1614938.226,1574043.733,726916.8018,735706.1211,2126266.831,4049701.352,7215290.505,2289042.997,2808624.474,1477194.571,3322793.44,46868.80576,1893690.096,2099843.772,5016471.216,3933862.325,3107629.551,3666724.774,2662791.52,8307056.145,2269413.804,3988970.913,3751964.277,4200029.183,38536.49512,1972207.262,1893575.073,2312622.229
375.06953,6.579,Unknown 127,MS2 Available,,,,,,,,93762.75617,134325.3818,125591.4424,125106859.4,151016664.9,70488376.97,176014621.2,114948012.9,105026684.1,95370405.65,33434460.06,142964855.6,172819548.9,92549445.69,84218117.24,50179257.15,6293260.498,154035322.5,7663250.397,5624312.959,108106800.8,167272149.2,48870515.17,134421340.2,36208476.33,76575383.85,56268219.84,12724717.13,13737675.21,58924773.13,64145071.78,90650491.12,77241638.57,74290146.84,146073983.5,6538286.858,96729363.11,62911026.7,23411838.1,140832429.2,18290499.22
200.98661,6.597,Unknown 128,MS2 Available,,,,,,,,92259.70761,33149.36455,50883.10882,4840966.467,4515307.222,1251988.813,3481372.808,1207721.469,1248054.536,1330689.617,3277956.624,4648331.628,951593.2325,1092906.747,1075336.729,667081.7323,559691.8055,15599500.66,5568372.74,4774761.525,2192760.115,1971057.215,1098271.777,9044025.816,1649124.605,1982066.792,1928621.543,8283549.469,4604025.28,11286862.17,3112202.539,4904099.201,16824326.45,2660663.412,7187567.4,6118104.725,13192273.64,5553491.337,3727969.389,4092136.905,6222251.869
385.09839,6.603,Unknown 129,MS2 Available,,,,,,,,175172.6193,158278.1422,147986.7759,40257560.08,33085294.46,35494911.29,11439597.57,23036245.81,47233404.82,23401760.86,11358347.17,22991700.31,60235497.01,53891725.6,41126635.26,23359905.24,23564087.57,40651146.68,11463623.43,13437384.37,21597372.58,17175337.84,18073412.59,33034778.21,31664119.16,49947761.17,37628056.76,11262854.09,11760694.21,41778969.29,26361425.52,44888607.76,10178113.36,24237104.3,12737201.48,28394556.09,30841041.36,25129825.77,17307941.89,53262125.55,15098617.79
399.11437,6.628,Unknown 130,MS2 Available,,,,,,,,137207.0475,176072.2144,169219.1363,109474204.1,105940997.6,99216998.57,117019416.8,137710877.5,114245614.4,145845379.7,161874721.5,153553905.2,149359428.7,136321116.8,110460034.5,126477080.3,135636575.7,145782470.8,130279477.3,179930883.2,87470788.12,137153203.7,116508445.5,120386192.2,184966048.8,121286940.2,102841942.5,154941805.6,142376300.7,85413052.69,171782268,120264536.2,130672146.8,150533858.8,131323101.1,159013664.4,200458136.8,170698676,121519416.7,145625669.5,105241598
182.99342,6.644,Unknown 131,MS2 Available,,,,,,,,233265.8837,28305.82794,27849.57178,3717963.362,3684041.382,1569627.241,2032290.237,843999.383,2642957.011,4245045.292,11028704.27,527814.6441,2987054.835,2586765.748,3341997.447,2665253.084,869239.5045,1215607.416,24827578.32,19813318.27,12371515.39,5886142.975,3538561.151,1013513.173,2689214.429,1671707.626,3316628.872,14849212.08,4725607.017,2315986.449,1395070.949,3771996.319,17097250.29,3988221.4,4741624.685,797192.4385,1016644.51,9306753.577,4644131.679,361190.7552,5610441.725
154.96532,6.662,Unknown 132,MS2 Available,,,,,,,,1289353.935,26777.43183,25277.32357,123477.3076,98559.81015,218434.5192,1272397.731,376013.3704,318911.6227,178632.383,11387645.74,34512.24879,76080.3476,73262.47892,66134.34672,29530.45756,30962.30077,68193.23382,3774624.395,3453200.612,120543.5387,343785.0343,45491.10404,61999.1449,31043.52974,57392.15485,52311.38205,3642387.121,4250794.007,130025.3279,31085.99127,59401.19548,611248.9721,29027.70625,189642.5977,31504.94876,35046.66151,33257.0308,30326.65812,94054.9993,30562.0861
339.09247,6.663,Unknown 133,MS2 Available,,,,,,,,132808.1031,167079.8067,236763.8213,105062236.8,95249802.82,76027444.83,105057972.3,131192245.5,106382690.3,109377438.4,106768554.4,106211137.3,137638035.1,106431824.8,74055012.64,89329795.16,86103433.01,116244437.8,106030883.1,125207283.4,69732615.56,141454325.5,74161074.46,93054783.67,112875882.5,91695992.82,79693349.46,106440729.3,111433165.8,72803116.95,100609773.5,102002139,93879938.92,94858810.2,100506130.8,106274877,120266017.8,102384106.1,69701797.73,109330452,64451147.32
259.13059,6.711,Unknown 134,MS2 Available,,,,,,,,57432.78121,170635.7258,181183.5756,22056384.1,22185548.15,22077701.63,31744060.82,19668401.89,28589060.97,25005966.59,46944701.73,6769559.939,26508255.14,27078366.6,23769007.73,22857809.46,20139803.72,7463711.343,30923602.76,44556887.97,26149260.79,31529192.71,17526913.62,7524622.509,14489277.05,18084145.8,23416320.32,43524530.32,38365069.45,4941622.011,8905920.628,16842427.96,22752751.63,17970068.04,19435501.62,6401832.245,7801440.031,10820197.3,9383615.445,17806470.9,7854860.934
247.13046,6.779,Unknown 135,MS2 Available,,,,,,,,49783.18879,60503.55492,59312.53566,14621677.92,11004589.41,6252250.654,16970520.6,14829588.76,8474219.383,14999519.42,17990941.2,16262725.5,18494482.96,13116965.23,9596761.385,11553951.39,7542048.412,11165082.95,22526839.16,24392309.23,11465023.16,21999325.64,10306449.03,11405866.92,12042203.49,8976213.457,8477162.874,24306692.1,25953508.17,10690843.05,16527107.98,14574730.72,17273793.47,12490248.47,15967235.15,14778111.15,16455798.41,14933713.19,6429807.967,11730615.13,4981662.117
117.01915,6.808,Unknown 136,MS2 Available,,,,,,,,4450870.625,761074.1464,875167.916,9957798.633,8369366.143,10443340.3,28225418.31,2810335.348,16789320.38,11515657.73,28034325.75,1990710.844,5355607.679,4840072.595,4618977.446,4707124.742,2802835.66,5233089.726,20808585.43,36965259.57,12508545.05,10914057.8,4999435.662,3764453.314,3476549.813,3890791.228,7718155.116,17445989.85,15685637.02,4393435.916,3063764.767,6860710.967,32569709.41,6799704.583,13435770.67,4504828.11,3995239.855,4491560.611,5870657.826,5973132.215,6584040.685
