Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,SPE_Blank_FTICR_r1_08Feb23_Fir_300SA_P01_9395,SPE_Blank_FTICR_r2_10Feb23_Fir_300SA_P01_9463,SPE_Blank_FTICR_r3_10Feb23_Fir_300SA_P01_9510,Lab_Blank_r1_08Feb23_Fir_300SA_P01_9392,Lab_Blank_r1_08Feb23_Fir_300SA_P01_9415,Lab_Blank_r1_13Feb23_Fir_300SA_P01_9669,Lab_Blank_r2_09Feb23_Fir_300SA_P01_9442,Lab_Blank_r2_13Feb23_Fir_300SA_P01_9713,Lab_Blank_r2_13Feb23_Fir_300SA_P01_9736,Lab_Blank_r3_10Feb23_Fir_300SA_P01_9530,Lab_Blank_r3_10Feb23_Fir_300SA_P01_9554,Lab_Blank_r3_13Feb23_Fir_300SA_P01_9758
189.0404604,7,10,6,0,0,0,0,0,CHO,[M-H]-,190.0477369,0.006288097,1,3036861.8,0,0,0,0,0,0,0,0,0,0,0
189.0768362,8,14,5,0,0,0,0,0,CHO,[M-H]-,190.0841126,0.057524358,1,6886678.5,6463658,5775943,0,5316074,0,0,0,0,3185559.8,3335836.8,5653822
189.0904949,0,0,0,0,0,0,0,0,,,190.0977714,0,0,0,6709555.5,3873360.3,16079981,10235507,0,18127584,0,0,0,0,0
189.0910289,0,0,0,0,0,0,0,0,,,190.0983053,0,1,18412064,23874356,11135569,57604204,38087284,3390301.8,61352672,0,4436987,3197345.8,6189350.5,8067399.5
189.0913544,0,0,0,0,0,0,0,0,,,190.0986309,0,0,6326304.5,0,0,0,0,0,0,0,0,0,0,0
189.0915716,0,0,0,0,0,0,0,0,,,190.0988481,0,0,87412256,101270328,48911184,260669552,173077104,13570782,272532192,0,16477691,15479842,23636518,32495944
189.0920938,12,14,2,0,0,0,0,0,CHO,[M-H]-,190.0993703,0.049389716,1,15217697,17188660,7877713.5,43656304,28734068,3259166.3,44565216,0,0,0,4386599,0
189.112685,0,0,0,0,0,0,0,0,,,190.1199615,0,0,0,0,0,3757180,4363138.5,0,3181550.5,3768974,4789513.5,3337905.3,3191989.3,6667607
189.1132203,9,18,4,0,0,0,0,0,CHO,[M-H]-,190.1204968,0.064560233,1,8921392,9126724,7660383.5,17542780,17217156,9776619,16065263,14308750,17568266,12937266,11043382,27088216
189.1137418,0,0,0,0,0,0,0,0,,,190.1210183,0,0,0,0,0,0,3135811.5,2660715.5,3440431.3,0,0,0,0,0
189.9071368,0,0,0,0,0,0,0,0,,,190.9144133,0,0,0,0,0,0,0,0,0,0,0,20493426,17694814,0
189.9074648,0,0,0,0,0,0,0,0,,,190.9147412,0,0,0,0,0,0,0,0,0,0,0,7253617.5,0,0
189.9076907,0,0,0,0,0,0,0,0,,,190.9149672,0,0,0,0,0,0,0,0,0,2532382.8,0,103748208,84855904,4117642.5
189.9079079,0,0,0,0,0,0,0,0,,,190.9151844,0,0,0,0,0,0,0,0,0,0,0,0,6700126,0
189.9082143,0,0,0,0,0,0,0,0,,,190.9154908,0,0,0,0,0,0,0,0,0,0,0,16580210,13900894,0
190.0720983,7,13,5,1,0,0,0,0,CHON,[M-H]-,191.0793747,-0.011515884,1,0,2793974.8,0,0,0,0,0,0,0,0,0,0
190.0768802,0,0,0,0,0,0,0,0,,,191.0841567,0,0,0,0,0,3042183,0,0,6433387.5,0,0,0,0,0
190.0943657,0,0,0,0,0,0,0,0,,,191.1016422,0,0,0,0,0,2732627,0,0,2860151.3,0,0,0,0,0
190.094928,0,0,0,0,0,0,0,0,,,191.1022044,0,0,5180769,6404359.5,3012159.5,15180563,11369013,0,16098168,0,0,0,0,0
190.1165923,8,18,4,0,1,0,0,0,CHO,[M-H]-,191.1238687,-0.025267435,0,0,0,0,2450786.5,0,0,0,0,2781171,0,0,4096033.8
190.2169853,0,0,0,0,0,0,0,0,,,191.2242617,0,0,0,2411329.5,0,0,0,0,0,0,0,0,0,0
190.4073689,0,0,0,0,0,0,0,0,,,191.4146454,0,0,0,0,0,0,0,0,0,0,0,2694309.5,2415298.3,0
190.9050219,0,0,0,0,0,0,0,0,,,191.9122983,0,0,0,0,0,0,0,0,0,0,0,2490847.5,0,0
190.905582,0,0,0,0,0,0,0,0,,,191.9128584,0,0,0,0,0,0,0,0,0,0,0,13355360,12413741,0
190.9061579,0,0,0,0,0,0,0,0,,,191.9134343,0,0,0,0,0,0,0,0,0,0,0,2435616.3,0,0
190.9097819,0,0,0,0,0,0,0,0,,,191.9170583,0,0,0,0,0,0,0,0,0,0,0,2567395,0,0
190.9993251,0,0,0,0,0,0,0,0,,,192.0066015,0,0,0,0,0,0,0,0,0,0,0,0,2689394,0
191.0196896,6,8,7,0,0,0,0,0,CHO,[M-H]-,192.0269661,0.190277773,1,0,0,0,4168989,0,0,0,0,0,0,0,0
191.055027,0,0,0,0,0,0,0,0,,,192.0623034,0,0,3867037.8,3760727.5,0,0,0,0,0,0,0,0,0,0
191.0555553,0,0,0,0,0,0,0,0,,,192.0628317,0,0,9882014,10879704,9122476,0,0,0,0,0,0,0,0,0
191.0558694,0,0,0,0,0,0,0,0,,,192.0631458,0,0,0,3575256.3,0,0,0,0,0,0,0,0,0,0
191.0561009,7,12,6,0,0,0,0,0,CHO,[M-H]-,192.0633774,0.055814651,1,44885920,42631384,35764396,0,0,0,0,0,0,0,0,0
191.0563272,0,0,0,0,0,0,0,0,,,192.0636037,0,0,4412831,0,3012012,0,0,0,0,0,0,0,0,0
191.0566263,0,0,0,0,0,0,0,0,,,192.0639027,0,0,7282591,7086297,5572012.5,0,0,0,0,0,0,0,0,0
191.0726853,0,0,0,0,0,0,0,0,,,192.0799618,0,0,0,0,0,2713539,0,0,4816920,0,0,0,0,0
191.0732451,0,0,0,0,0,0,0,0,,,192.0805215,0,0,5472939.5,5142117.5,3575864.3,9894339,9004289,0,25208856,0,0,5060705,4179240.8,0
191.0737953,0,0,0,0,0,0,0,0,,,192.0810718,0,0,0,0,0,2391235.8,0,0,3731736.8,0,0,0,0,0
191.0958079,0,0,0,0,0,0,0,0,,,192.1030844,0,0,0,0,0,2738131.5,2811026,0,3155624.3,0,0,0,0,0
191.107748,12,16,2,0,0,0,0,0,CHO,[M-H]-,192.1150245,0.02742267,1,0,0,0,3441756,3055899,0,0,0,2551919.5,2617083.5,0,2704256.5
192.0333674,0,0,0,0,0,0,0,0,,,193.0406438,0,0,4424834.5,5559248.5,4942205.5,0,0,0,0,0,0,0,0,0
192.0594737,6,12,6,0,1,0,0,0,CHO,[M-H]-,193.0667502,-0.037351845,0,3350294.8,3908965,3360529.3,0,0,0,0,0,0,0,0,0
192.960265,0,0,0,0,0,0,0,0,,,193.9675415,0,0,0,0,0,0,0,0,0,0,0,3344322.8,0,0
192.9608347,0,0,0,0,0,0,0,0,,,193.9681112,0,0,0,0,0,0,0,0,0,0,0,13315011,11598157,0
192.961366,0,0,0,0,0,0,0,0,,,193.9686425,0,1,0,0,0,0,0,0,0,0,0,2889091.5,0,0
192.9788247,0,0,0,0,0,0,0,0,,,193.9861012,0,0,0,0,0,0,0,0,0,0,0,3638354,2958043,0
192.9883377,0,0,0,0,0,0,0,0,,,193.9956142,0,0,3749486.3,2677328.3,0,2470287.8,0,0,0,0,0,0,0,0
193.0449996,0,0,0,0,0,0,0,0,,,194.0522761,0,0,0,2528254.5,0,0,0,0,0,0,0,0,0,0
193.0482227,0,0,0,0,0,0,0,0,,,194.0554991,0,0,4063262,3659393.3,2915589.3,4451709.5,2809334,0,4427954,0,0,0,0,0
193.0506223,10,10,4,0,0,0,0,0,CHO,[M-H]-,194.0578987,0.051965347,1,0,0,0,3569791.5,3847928,0,0,2618479.5,0,0,0,5774063.5
193.0539989,7,14,4,0,0,1,0,0,CHOS,[M-H]-,194.0612754,0.022041356,1,0,0,0,3565954,4016122.8,0,3094454.5,0,0,0,0,0
193.0846269,0,0,0,0,0,0,0,0,,,194.0919034,0,0,0,0,0,0,0,0,0,0,0,0,0,2791115.3
193.0870231,11,14,3,0,0,0,0,0,CHO,[M-H]-,194.0942996,-0.027300767,1,4475965,3547169,2751331.5,3762075.5,2675221,0,2887759.3,0,2388340.8,0,3315696.8,2611725.3
193.0889037,0,0,0,0,0,0,0,0,,,194.0961802,0,0,2689534.5,0,0,0,0,0,0,0,0,0,0,0
193.0901431,0,0,0,0,0,0,0,0,,,194.0974195,0,0,0,0,0,0,0,0,0,0,0,2745646,0,0
193.0998968,0,0,0,0,0,0,0,0,,,194.1071733,0,1,5198151,4480683.5,4928685.5,0,0,0,0,0,0,0,0,0
193.1075869,0,0,0,0,0,0,0,0,,,194.1148634,0,0,0,0,0,0,0,0,0,0,0,0,0,3284509.8
193.108147,8,18,5,0,0,0,0,0,CHO,[M-H]-,194.1154235,0.000898943,1,4314062,3972786.3,2865524,3026731.8,5225126,3367500,4292447,5540507,7296069,13260349,10226626,10813214
193.1086871,0,0,0,0,0,0,0,0,,,194.1159635,0,0,0,0,0,0,0,0,0,0,0,2755389.3,0,0
193.1597861,13,22,1,0,0,0,0,0,CHO,[M-H]-,194.1670626,0.013982909,1,6195703,6648156.5,6111964,0,0,0,0,0,0,0,0,0
194.0537893,0,0,0,0,0,0,0,0,,,195.0610657,0,0,3531596.3,7864133,7497887.5,2959246,4043301.3,0,7918513,0,0,0,0,2712358.8
194.0816871,0,0,0,0,0,0,0,0,,,195.0889636,0,0,0,0,0,0,0,0,0,0,0,2411119,0,0
194.0822545,10,13,3,1,0,0,0,0,CHON,[M-H]-,195.089531,0.062932983,1,0,0,0,5096868.5,5485884.5,0,4609223,0,0,6647151.5,5267922.5,0
194.3968398,0,0,0,0,0,0,0,0,,,195.4041163,0,0,2447847.8,0,0,0,0,0,0,0,0,0,0,0
194.9580924,0,0,0,0,0,0,0,0,,,195.9653689,0,0,0,0,0,0,0,0,0,0,0,2643684,2653607.8,0
194.9752254,0,0,0,0,0,0,0,0,,,195.9825019,0,0,0,0,0,0,0,0,0,0,0,3103219,3282486.3,0
194.9944674,0,0,0,0,0,0,0,0,,,196.0017439,0,0,0,0,0,0,0,0,0,0,0,2871428,3171142.3,0
195.0047387,7,4,5,2,0,0,0,0,CHON,[M-H]-,196.0120152,0.030879862,1,0,0,0,0,0,0,2423067.5,0,0,0,0,0
195.0137928,0,0,0,0,0,0,0,0,,,196.0210692,0,0,2670188.5,0,0,0,2616198.5,0,0,0,0,0,0,0
195.0298806,9,8,5,0,0,0,0,0,CHO,[M-H]-,196.0371571,0.082906002,1,0,0,0,0,2464724.3,0,0,0,0,0,0,0
195.0495807,0,0,0,0,0,0,0,0,,,196.0568571,0,0,2940042.8,7319194,6589897.5,2479150.5,4030053,0,5687743,0,0,0,0,2495600.3
195.0501583,0,0,0,0,0,0,0,0,,,196.0574347,0,0,13532683,33663388,29012170,9130671,18293350,0,27205568,0,0,3934132.8,4566005,11507057
195.0507116,0,0,0,0,0,0,0,0,,,196.0579881,0,0,0,4759195,3924938.3,0,2732069.8,0,4537280,0,0,0,0,0
195.0662844,10,12,4,0,0,0,0,0,CHO,[M-H]-,196.0735609,-0.010211676,1,3321497,2793256.5,2904535.3,2870460,3874419,0,0,2596759.8,2815579.3,0,0,3354622.8
195.1026642,11,16,3,0,0,0,0,0,CHO,[M-H]-,196.1099406,0.019121254,1,4346423.5,3115720,3356917.3,2599513.8,2416274,0,0,2372149.3,3447161,0,0,4319902
195.1045402,0,0,0,0,0,0,0,0,,,196.1118167,0,0,0,0,0,6381275.5,5628307.5,0,5120491,0,0,0,0,0
195.1384529,0,0,0,0,0,0,0,0,,,196.1457294,0,0,2936278,2460903,0,0,0,0,0,0,0,0,0,2695740.5
195.1390498,12,20,2,0,0,0,0,0,CHO,[M-H]-,196.1463263,0.018499149,1,12715607,13342184,10512147,4942711.5,4975665,4202276.5,4925318.5,6331602.5,4967319,3485826.8,3325504,9373117
195.1395879,0,0,0,0,0,0,0,0,,,196.1468643,0,0,0,2564968,0,0,0,0,0,0,0,0,0,0
196.0134126,0,0,0,0,0,0,0,0,,,197.0206891,0,0,0,3971561.8,5141743,0,0,0,0,0,3498476.5,51373580,45391656,6636213
196.0137735,0,0,0,0,0,0,0,0,,,197.02105,0,1,0,0,0,0,0,0,0,0,0,20256268,17143594,0
196.0140028,0,0,0,0,0,0,0,0,,,197.0212792,0,0,6289477,18871530,28671984,0,0,3493316.3,3234889.5,8598429,22373996,286782976,250509104,38415028
196.0145721,0,0,0,0,0,0,0,0,,,197.0218486,0,0,0,3126378.8,4121840,0,0,0,0,0,0,40689164,36450092,0
196.0251507,8,7,5,1,0,0,0,0,CHON,[M-H]-,197.0324271,-0.024267584,1,0,0,0,2846548.5,3552426,0,2434130.5,0,0,0,0,0
196.142385,11,20,2,0,1,0,0,0,CHO,[M-H]-,197.1496615,0.117985041,0,3102644.8,0,0,0,0,0,0,0,0,0,0,0
196.5131921,0,0,0,0,0,0,0,0,,,197.5204686,0,0,0,0,0,0,0,0,0,0,0,10840529,8526555,0
196.5137927,0,0,0,0,0,0,0,0,,,197.5210692,0,0,0,4438058,6347161,0,0,0,0,0,3884563.3,62369744,52451548,8086127.5
196.5140234,0,0,0,0,0,0,0,0,,,197.5212998,0,0,0,0,0,0,0,0,0,0,0,5138385.5,0,0
196.5143736,0,0,0,0,0,0,0,0,,,197.5216501,0,0,0,0,0,0,0,0,0,0,0,8343249.5,7534044,0
196.5150878,0,0,0,0,0,0,0,0,,,197.5223643,0,0,0,0,0,0,0,0,0,0,0,0,4169692.8,0
196.5156772,0,0,0,0,0,0,0,0,,,197.5229537,0,0,0,0,2474010.8,0,0,0,0,0,0,26884050,22939870,3758065
196.5162456,0,0,0,0,0,0,0,0,,,197.5235221,0,0,0,0,0,0,0,0,0,0,0,3817427.5,2988125.8,0
196.9193575,0,0,0,0,0,0,0,0,,,197.926634,0,0,0,0,0,0,2976827.5,0,0,4023696.8,3648365.8,5571908.5,5485375.5,5530586
197.0027789,0,0,0,0,0,0,0,0,,,198.0100554,0,0,0,0,0,0,2374981.8,0,0,0,0,0,0,0
197.0112686,0,0,0,0,0,0,0,0,,,198.0185451,0,0,0,0,0,0,0,0,0,0,0,3885977,3510544.5,0
197.0118706,0,0,0,0,0,0,0,0,,,198.0191471,0,0,0,0,0,0,0,0,0,0,0,17070490,14856337,0
197.0124111,0,0,0,0,0,0,0,0,,,198.0196876,0,0,0,0,3375687,0,0,0,0,0,3253181.8,39893404,31112850,4368174
197.0129701,0,0,0,0,0,0,0,0,,,198.0202466,0,0,0,0,0,0,0,0,0,0,0,6001306.5,5423122,0
