"CoreID","pre","inc"
"out_Wein_51407_15_D.6.2_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9665.XML","-6","8"
"out_Wein_51407_15_D.6.2_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9709.XML","-6","8"
"out_Wein_51407_15_D.6.2_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9742.XML","-6","8"
"out_Wein_51407_16_A.6.2_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9666.XML","-6","2"
"out_Wein_51407_16_A.6.2_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9714.XML","-6","2"
"out_Wein_51407_16_A.6.2_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9747.XML","-6","2"
"out_Wein_51407_17_A.6.3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9670.XML","-6","2"
"out_Wein_51407_17_A.6.3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9728.XML","-6","2"
"out_Wein_51407_17_A.6.3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9745.XML","-6","2"
"out_Wein_51407_18_B.6.3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9671.XML","-6","4"
"out_Wein_51407_18_B.6.3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9705.XML","-6","4"
"out_Wein_51407_18_B.6.3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9763.XML","-6","4"
"out_Wein_51407_19_A.2.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9672.XML","-6","2"
"out_Wein_51407_19_A.2.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9731.XML","-2","2"
"out_Wein_51407_19_A.2.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9755.XML","-2","2"
"out_Wein_51407_20_Pre.2.3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9673.XML","-6","Pre"
"out_Wein_51407_20_Pre.2.3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9730.XML","-2","Pre"
"out_Wein_51407_20_Pre.2.3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9756.XML","-6","Pre"
"out_Wein_51407_21_B.6.2_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9674.XML","-6","4"
"out_Wein_51407_21_B.6.2_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9710.XML","-6","4"
"out_Wein_51407_21_B.6.2_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9761.XML","-6","4"
"out_Wein_51407_22_Pre.2.2_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9675.XML","-6","Pre"
"out_Wein_51407_22_Pre.2.2_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9722.XML","-2","Pre"
"out_Wein_51407_22_Pre.2.2_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9752.XML","-2","Pre"
"out_Wein_51407_23_D.6.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9676.XML","-6","8"
"out_Wein_51407_23_D.6.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9696.XML","-6","8"
"out_Wein_51407_23_D.6.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9765.XML","-6","8"
"out_Wein_51407_24_D.2.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9677.XML","-6","8"
"out_Wein_51407_24_D.2.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9702.XML","-2","8"
"out_Wein_51407_24_D.2.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9737.XML","-2","8"
"out_Wein_51407_25_A.6.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9678.XML","-6","2"
"out_Wein_51407_25_A.6.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9707.XML","-6","2"
"out_Wein_51407_25_A.6.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9760.XML","-6","2"
"out_Wein_51407_26_C.6.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9679.XML","-6","6"
"out_Wein_51407_26_C.6.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9700.XML","-6","6"
"out_Wein_51407_26_C.6.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9777.XML","-6","6"
"out_Wein_51407_27_E.6.2_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9680.XML","-6","10"
"out_Wein_51407_27_E.6.2_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9708.XML","-6","10"
"out_Wein_51407_27_E.6.2_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9778.XML","-6","10"
"out_Wein_51407_28_C.2.3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9681.XML","-6","6"
"out_Wein_51407_28_C.2.3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9704.XML","-2","6"
"out_Wein_51407_28_C.2.3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9769.XML","-6","6"
"out_Wein_51407_29_A.2.3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9682.XML","-6","2"
"out_Wein_51407_29_A.2.3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9729.XML","-2","2"
"out_Wein_51407_29_A.2.3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9768.XML","-6","2"
"out_Wein_51407_30_C.2.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9683.XML","-6","6"
"out_Wein_51407_30_C.2.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9698.XML","-6","6"
"out_Wein_51407_30_C.2.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9754.XML","-2","6"
"out_Wein_51407_31_B.2.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9684.XML","-6","4"
"out_Wein_51407_31_B.2.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9717.XML","-2","4"
"out_Wein_51407_31_B.2.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9771.XML","-2","4"
"out_Wein_51407_32_B.6.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9685.XML","-6","4"
"out_Wein_51407_32_B.6.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9703.XML","-6","4"
"out_Wein_51407_32_B.6.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9738.XML","-6","4"
"out_Wein_51407_33_A.2.2_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9686.XML","-6","2"
"out_Wein_51407_33_A.2.2_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9695.XML","-6","2"
"out_Wein_51407_33_A.2.2_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9766.XML","-6","2"
"out_Wein_51407_34_D.2.3_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9687.XML","-6","8"
"out_Wein_51407_34_D.2.3_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9697.XML","-6","8"
"out_Wein_51407_34_D.2.3_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9751.XML","-2","8"
"out_Wein_51407_35_Pre.6.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9688.XML","-6","Pre"
"out_Wein_51407_35_Pre.6.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9727.XML","-6","Pre"
"out_Wein_51407_35_Pre.6.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9746.XML","-6","Pre"
"out_Wein_51407_36_Pre.2.1_FTICR_Lipid_r1_13Feb23_Fir_300SA_P01_9689.XML","-6","Pre"
"out_Wein_51407_36_Pre.2.1_FTICR_Lipid_r2_13Feb23_Fir_300SA_P01_9724.XML","-6","Pre"
"out_Wein_51407_36_Pre.2.1_FTICR_Lipid_r3_13Feb23_Fir_300SA_P01_9740.XML","-6","Pre"
