Metabolites,Count_4,Count_pre,Count_6,Count_8,Count_10,Count_2,Mean_4,Mean_pre,Mean_6,Mean_8,Mean_10,Mean_2,Fold_change_4_vs_pre,Fold_change_4_vs_6,Fold_change_4_vs_8,Fold_change_4_vs_10,Fold_change_4_vs_2,Fold_change_pre_vs_6,Fold_change_pre_vs_8,Fold_change_pre_vs_10,Fold_change_pre_vs_2,Fold_change_6_vs_8,Fold_change_6_vs_10,Fold_change_6_vs_2,Fold_change_8_vs_10,Fold_change_8_vs_2,Fold_change_10_vs_2,P_value_A_4_vs_pre,P_value_A_4_vs_6,P_value_A_4_vs_8,P_value_A_4_vs_10,P_value_A_4_vs_2,P_value_A_pre_vs_6,P_value_A_pre_vs_8,P_value_A_pre_vs_10,P_value_A_pre_vs_2,P_value_A_6_vs_8,P_value_A_6_vs_10,P_value_A_6_vs_2,P_value_A_8_vs_10,P_value_A_8_vs_2,P_value_A_10_vs_2,Flag_A_4_vs_pre,Flag_A_4_vs_6,Flag_A_4_vs_8,Flag_A_4_vs_10,Flag_A_4_vs_2,Flag_A_pre_vs_6,Flag_A_pre_vs_8,Flag_A_pre_vs_10,Flag_A_pre_vs_2,Flag_A_6_vs_8,Flag_A_6_vs_10,Flag_A_6_vs_2,Flag_A_8_vs_10,Flag_A_8_vs_2,Flag_A_10_vs_2
1-hexadecanol,5,6,6,6,6,5,13.0550174008351,13.0886606350781,13.2587786135651,13.344991155065,12.8667466405386,13.3699908103536,-0.0336432342429713,-0.203761212730047,-0.289973754229853,0.18827076029646,-0.314973409518501,-0.170117978487076,-0.256330519986882,0.221913994539431,-0.28133017527553,-0.0862125414998065,0.392031973026507,-0.111212196788454,0.478244514526313,-0.0249996552886476,-0.503244169814961,0.895227628799246,0.427672710376145,0.261729349965692,0.463260609416809,0.243572201127506,0.48676779119986,0.297331897287756,0.365756474950518,0.275898690106339,0.72364270643463,0.115549994404954,0.663816560060376,0.0574527086445386,0.922039488224224,0.0566849397657802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-furoic acid,5,6,6,6,6,5,14.1739563361808,14.2067038993798,15.1150330804982,15.6191179024126,15.631066748027,15.0912690136379,-0.0327475631989991,-0.941076744317352,-1.44516156623177,-1.45711041184619,-0.917312677457046,-0.908329181118352,-1.41241400303277,-1.42436284864719,-0.884565114258047,-0.504084821914416,-0.516033667528836,0.0237640668603056,-0.0119488456144197,0.527848888774722,0.539797734389142,0.961717319113021,0.174956614956055,0.0414529197445311,0.0399169134835575,0.204590380992528,0.169878274892748,0.0369561382751533,0.0355041384078726,0.201452069583506,0.440851529450901,0.430214926359487,0.972213916571472,0.985344666769549,0.441569893919325,0.431414691903566,0,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0
2-phenylacetamide,5,6,6,6,6,5,16.4336954385937,16.159004455417,16.4082685705882,16.4364630139301,16.420361215442,16.3931010153902,0.274690983176662,0.0254268680054821,-0.00276757533641359,0.0133342231516913,0.0405944232035367,-0.249264115171179,-0.277458558513075,-0.26135676002497,-0.234096559973125,-0.0281944433418957,-0.0120926448537908,0.0151675551980546,0.0161017984881049,0.0433619985399503,0.0272602000518454,0.0255738424329554,0.828780382894299,0.981212165128857,0.909675435656325,0.741108158073436,0.0328889252549688,0.0186219196365867,0.0258588042815791,0.0541779689097837,0.801448826606174,0.914069121673917,0.897324766870322,0.885760293445438,0.712489900177607,0.816658706277985,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0
2-phenylacetic acid,5,6,6,6,6,5,14.083826385254,13.9195260355836,14.1493991578566,14.1022647488425,14.0055242514118,14.1026283760679,0.164300349670331,-0.0655727726026623,-0.0184383635885528,0.0783021338421115,-0.0188019908139623,-0.229873122272993,-0.182738713258884,-0.0859982158282193,-0.183102340484293,0.0471344090141095,0.143874906444774,0.0467707817887,0.0967404974306643,-0.000363627225409502,-0.0971041246560738,0.146856610616029,0.556292660857385,0.868220977002784,0.482903584510869,0.871313954876095,0.0370575276371848,0.0927445167351048,0.419639588790691,0.107499062522053,0.656927445442284,0.181457579859815,0.674265737392523,0.364697278537257,0.997388579586079,0.385364840016079,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
3-hydroxybutyric acid,5,6,6,6,6,5,17.1386094535483,17.3414089370481,16.9390457474959,16.647489086974,16.8755060023206,16.8979827910577,-0.202799483499806,0.199563706052412,0.491120366574247,0.263103451227689,0.240626662490598,0.402363189552219,0.693919850074053,0.465902934727495,0.443426145990404,0.291556660521834,0.0635397451752766,0.0410629564381857,-0.228016915346558,-0.250493704083649,-0.0224767887370909,0.29305125771725,0.300669357881836,0.0148856542867722,0.175408293860222,0.233633333614716,0.0339523193211425,0.000634636203525342,0.0153468881315208,0.0264584763087913,0.117354014004095,0.727375379592903,0.829799131848604,0.216774638170568,0.196337311781432,0.906307305712299,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
3-hydroxypentanoic acid,5,6,6,6,6,5,14.2322302785611,14.5967884816126,14.2098464122145,13.3909428762244,14.2184419754764,14.0771666214163,-0.364558203051438,0.0223838663466207,0.841287402336761,0.0137883030846861,0.15506365714481,0.386942069398058,1.2058456053882,0.378346506136124,0.519621860196247,0.81890353599014,-0.00859556326193456,0.132679790798189,-0.827499099252075,-0.686223745191951,0.141275354060124,0.426212545115124,0.960811011817274,0.0729332024225295,0.975853505904749,0.744734315378369,0.376392274510959,0.00912958620170636,0.386939733462885,0.259507621561476,0.0674638899829416,0.984211023769639,0.77102493885441,0.0648006215412607,0.139748383537951,0.75666957177371,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4-aminobutyric acid (GABA),5,6,6,6,6,5,15.7185450113506,15.9650637647533,15.2212973147057,15.4882784199296,15.5267760712674,15.5174878654329,-0.246518753402649,0.497247696644928,0.230266591421069,0.191768940083271,0.201057145917705,0.743766450047577,0.476785344823718,0.43828769348592,0.447575899320354,-0.266981105223859,-0.305478756561657,-0.296190550727223,-0.0384976513377975,-0.0292094455033638,0.00928820583443368,0.31157487233048,0.0469254375657032,0.34398660220404,0.429496056659307,0.427764886859603,0.00291673297748384,0.0457790024683087,0.0648828048345466,0.071823846004426,0.251642519090259,0.191228179069764,0.225926609673576,0.867175129613515,0.903686607460637,0.969302809335189,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
4-hydroxy-3-methoxybenzoic acid (isovanillic acid),5,6,6,6,6,5,14.399072041321,13.977807284257,14.2236318828938,14.5524343275961,13.7596087488318,14.2384079076901,0.421264757063991,0.175440158427193,-0.153362286275076,0.639463292489216,0.160664133630904,-0.245824598636798,-0.574627043339067,0.218198535425225,-0.260600623433087,-0.328802444702269,0.464023134062023,-0.0147760247962889,0.792825578764292,0.31402641990598,-0.478799158858312,0.0833457496192702,0.460797911442674,0.518624715047449,0.0109372268991305,0.517375539968289,0.281130641940902,0.015819766437115,0.337671174380318,0.276088010310511,0.152721101084512,0.0473421637674276,0.95022658906924,0.00140412957993297,0.191479864290499,0.0507865192128733,0,0,0,1,0,0,-1,0,0,0,1,0,1,0,0
4-hydroxybenzoic acid (p-salicylic acid),5,6,6,6,6,5,14.2218702866559,14.7428453416661,14.4530832513063,14.637100932609,14.4941107130938,14.5523661420331,-0.520975055010203,-0.231212964650391,-0.415230645953084,-0.272240426437895,-0.330495855377206,0.289762090359812,0.105744409057118,0.248734628572308,0.190479199632996,-0.184017681302693,-0.0410274617875039,-0.0992828907268155,0.142990219515189,0.0847347905758777,-0.0582554289393116,0.00556527039626497,0.193245954792028,0.0236019423675103,0.127730454987695,0.0787798747813773,0.0906833406594202,0.527730939629007,0.143748125252876,0.28145452868243,0.275269933725821,0.805870362938337,0.571597560841439,0.394565816428968,0.628963238519735,0.739464367795839,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Arachidic acid,5,6,6,6,6,5,15.4734866249892,15.5022071395792,15.6806786409303,15.5453889440414,15.5801404141267,15.5827056768197,-0.0287205145899883,-0.207192015941132,-0.071902319052203,-0.106653789137496,-0.109219051830525,-0.178471501351144,-0.0431818044622148,-0.0779332745475081,-0.0804985372405369,0.135289696888929,0.100538226803636,0.0979729641106069,-0.0347514700852933,-0.0373167327783221,-0.00256526269302881,0.831677607657073,0.132914971331623,0.595431041473534,0.432322895560154,0.441275368576149,0.173011456764193,0.7376493671584,0.546401242582362,0.552458334700971,0.298225345394895,0.437499148675842,0.470332945510268,0.787414952162779,0.782478670812189,0.984847229213358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arbutin,5,6,6,6,6,5,16.8928197386797,16.6577580440022,16.018215033855,16.4523096763768,16.1590893407629,15.9184042126179,0.235061694677508,0.874604704824666,0.440510062302835,0.733730397916755,0.974415526061724,0.639543010147158,0.205448367625326,0.498668703239247,0.739353831384216,-0.434094642521831,-0.140874306907911,0.0998108212370585,0.29322033561392,0.53390546375889,0.240685128144969,0.632224683427296,0.0825731983375866,0.372237507518906,0.1421344239529,0.0650306080654717,0.17826045857684,0.660758849265696,0.29082415443934,0.139218837624737,0.356651942549614,0.763258257572681,0.838692549104118,0.531818788011355,0.281090847003367,0.624135000359024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
behenic acid,5,6,6,6,6,5,17.5147093202328,17.527230377823,17.7721634331889,17.5031623218486,17.6182478588027,17.5871324284873,-0.0125210575901846,-0.257454112956083,0.0115469983841336,-0.103538538569889,-0.0724231082545188,-0.244933055365898,0.0240680559743183,-0.0910174809797049,-0.0599020506643342,0.269001111340216,0.153915574386193,0.185031004701564,-0.115085536954023,-0.0839701066386525,0.0311154303153707,0.93870273438244,0.121834521088064,0.943462496283804,0.526326551080463,0.67069878350738,0.122622284131483,0.876815051573227,0.558882244710326,0.713268884309802,0.0913544099940831,0.325692005204076,0.261229202153416,0.460693409147493,0.606895944040985,0.848487699580502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzene-1,2,4-triol,5,6,6,6,5,5,13.2413411097235,13.5128062795132,13.4564399395526,13.3199878722942,13.9189920570322,13.1082247824497,-0.271465169789687,-0.215098829829076,-0.0786467625706546,-0.677650947308628,0.133116327273882,0.0563663399606114,0.192818407219033,-0.406185777518941,0.404581497063569,0.136452067258421,-0.462552117479552,0.348215157102958,-0.599004184737973,0.211763089844537,0.81076727458251,0.630996395197518,0.703278675485052,0.889108086433389,0.255736032956229,0.821288833081416,0.916520378808018,0.720218974940101,0.473508585893616,0.475240749889187,0.799791843281358,0.415020456245524,0.538378248259854,0.293188014003207,0.707655172541099,0.176103502998869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campesterol,5,6,6,6,6,5,17.4957457794212,17.3612592763374,17.5315513474175,17.4761882625652,17.4522908560062,17.3852973441604,0.134486503083856,-0.0358055679962774,0.0195575168560786,0.0434549234150481,0.110448435260839,-0.170292071080134,-0.114928986227778,-0.0910315796688081,-0.0240380678230174,0.0553630848523561,0.0792604914113255,0.146254003257116,0.0238974065589694,0.0908909184047602,0.0669935118457907,0.128549524374067,0.679881971452235,0.821492836490745,0.61678536545488,0.228397900209517,0.0468061242299141,0.171399615028102,0.2756654564587,0.781588179266416,0.504468342314616,0.34130012815985,0.0996124354955552,0.772533062512827,0.298894979677455,0.441841828534482,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Capric acid,5,6,6,6,6,5,14.1238925084292,14.2176476627286,14.1917768483907,14.222467825883,14.1522584622347,14.399147457702,-0.0937551542994477,-0.0678843399615072,-0.0985753174538448,-0.0283659538054639,-0.275254949272764,0.0258708143379405,-0.00482016315439715,0.0653892004939838,-0.181499794973316,-0.0306909774923376,0.0395183861560433,-0.207370609311257,0.0702093636483809,-0.176679631818919,-0.2468889954673,0.436916890834842,0.572512239957864,0.413979669701315,0.813135912137614,0.0349193844689708,0.821106474806566,0.966379795032966,0.568602114220996,0.138021555154221,0.788543987235035,0.729947952790163,0.0920479121104991,0.540628444784186,0.148378911459339,0.0471018802760675,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1
Caprylic acid,5,6,6,6,6,5,13.3612760497501,13.5183610417882,13.5680221896938,13.8762714301778,13.472162154859,13.6692374219801,-0.157084992038142,-0.206746139943689,-0.514995380427692,-0.110886105108925,-0.307961372230034,-0.0496611479055478,-0.35791038838955,0.0461988869292167,-0.150876380191892,-0.308249240484002,0.0958600348347645,-0.101215232286345,0.404109275318767,0.207034008197658,-0.197075267121109,0.426978932969922,0.29778245670048,0.0133126356767039,0.573875828514555,0.141471100525808,0.791212131903795,0.0642735008790361,0.805449151671052,0.445277902288652,0.108272854531116,0.609955954895386,0.607565248745822,0.0382364260568676,0.297123315513794,0.320525915497482,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0
Carbonate ion,5,6,6,6,6,5,19.7958189256485,19.9675425378668,19.8167000980522,20.3928722784012,20.1266250900616,20.1777152078096,-0.171723612218283,-0.0208811724036622,-0.597053352752699,-0.330806164413062,-0.381896282161076,0.150842439814621,-0.425329740534416,-0.159082552194779,-0.210172669942793,-0.576172180349037,-0.3099249920094,-0.361015109757414,0.266247188339637,0.215157070591623,-0.0510901177480143,0.492764817743422,0.933249247136717,0.0224381279523517,0.191374017833697,0.150071831560725,0.527174072497691,0.0817614948740445,0.505028762000773,0.402181445390168,0.0209958545816902,0.198977235088997,0.155103071135328,0.267981662210958,0.391257181287124,0.83767748051542,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0
D-arabitol,3,6,4,5,3,5,12.9395442147136,14.3699719233246,12.8416863064643,12.9622165901952,11.2862121587598,13.5243768700351,-1.430427708611,0.0978579082493063,-0.0226723754816085,1.65333205595384,-0.584832655321433,1.52828561686031,1.40775533312939,3.08375976456484,0.845595053289566,-0.120530283730915,1.55547414770454,-0.682690563570739,1.67600443143545,-0.562160279839825,-2.23816471127528,0.020994197311585,0.875513660586311,0.969711411913766,0.0208844812379332,0.333156410840655,0.00823953129618651,0.00927445295580706,2.75358512229395e-05,0.0991346906401007,0.82616542130379,0.0202478271178609,0.222043547037609,0.0100697890598351,0.284054621712521,0.00113428517770677,-1,0,0,1,0,1,1,1,0,0,1,0,1,0,-1
D-fructose,5,6,6,6,6,5,16.7417809157396,16.8821867100384,16.9783841210904,17.0079822491328,16.9417393807039,16.9497845680447,-0.140405794298832,-0.236603205350821,-0.266201333393191,-0.199958464964286,-0.208003652305148,-0.096197411051989,-0.125795539094359,-0.0595526706654539,-0.0675978580063159,-0.0295981280423696,0.0366447403865351,0.0285995530456731,0.0662428684289047,0.0581976810880427,-0.00804518734086201,0.288211726061042,0.0787854813286682,0.0495649914456624,0.134346237926898,0.135868738213807,0.443122882997106,0.317716059348765,0.633830563543,0.606308698920197,0.812569537964118,0.769152430023629,0.827065012814599,0.596391094006771,0.657070916455419,0.950976655916692,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
D-galactose,5,6,6,6,6,5,16.0412207159236,15.6807052957089,15.4623901412107,16.2286411690879,16.4610778358229,16.3994492750357,0.360515420214689,0.578830574712967,-0.187420453164282,-0.419857119899287,-0.358228559112064,0.218315154498278,-0.547935873378972,-0.780372540113976,-0.718743979326753,-0.766251027877249,-0.998687694612254,-0.937059133825031,-0.232436666735005,-0.170808105947781,0.0616285607872236,0.496176179703925,0.277690227888385,0.72269119539978,0.428734573735963,0.517198006259905,0.664801577423205,0.281077957321355,0.128729927913691,0.180142278236548,0.1355080921515,0.0549109366958754,0.0839149723070906,0.644643548829504,0.746337207099142,0.90701285511068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-glucose,5,6,6,6,6,5,19.396140663413,19.3929033119052,18.5186383136111,19.1295584886947,19.1139448441345,18.7246105589077,0.00323735150781346,0.877502349801947,0.266582174718327,0.282195819278535,0.671530104505322,0.874264998294134,0.263344823210513,0.278958467770721,0.668292752997509,-0.610920175083621,-0.595306530523413,-0.205972245296625,0.015613644560208,0.404947929786996,0.389334285226788,0.994671950635667,0.078489718239544,0.583425257872038,0.561700582262757,0.191628904521532,0.0666471190641331,0.569996473092039,0.547491835336896,0.175221533076552,0.193108968191418,0.204391439701586,0.671440405496496,0.973053935401025,0.406489632047273,0.424606351048719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D-mannitol,5,6,6,6,6,5,17.9830980903683,19.3880227052364,17.857817173993,18.2488007662959,17.9531022354933,18.3403961173003,-1.40492461486812,0.125280916375239,-0.265702675927635,0.0299958548750077,-0.357298026931979,1.53020553124336,1.13922193894048,1.43492046974313,1.04762658793614,-0.390983592302874,-0.0952850615002312,-0.482578943307217,0.295698530802643,-0.0915953510043437,-0.387293881806986,0.000564517982319368,0.731299964981533,0.468085103517057,0.934406599086702,0.351698279783628,0.000126812018932735,0.00258741617523747,0.000268444934286466,0.00717584773929715,0.26587843971231,0.784060101302224,0.192292794846693,0.397844521829863,0.801667978478796,0.292766191756153,-1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
D-xylose,5,6,6,6,6,5,12.9193112419452,13.7441882533572,12.6979112588712,13.2675286986843,13.1195332678984,12.9440672534145,-0.82487701141206,0.221399983074004,-0.348217456739144,-0.200222025953199,-0.0247560114693535,1.04627699448606,0.476659554672915,0.624654985458861,0.800120999942706,-0.569617439813149,-0.421622009027203,-0.246155994543358,0.147995430785945,0.323461445269791,0.175466014483845,0.0270511627166698,0.536243804030258,0.333100546861368,0.575689313202491,0.94702619987852,0.00433845521230522,0.168381809770827,0.0744433083546686,0.031574710866701,0.102177789971295,0.221379505881785,0.492018383127531,0.664010119160782,0.368059372543851,0.623558954574506,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Ethanolamine,5,6,6,6,6,5,14.8263423512247,15.0279545305968,15.0732528440016,15.2071853501892,14.9443298409461,15.2200004802385,-0.201612179372134,-0.246910492776895,-0.38084299896456,-0.117987489721392,-0.393658129013872,-0.0452983134047606,-0.179230819592426,0.0836246896507422,-0.192045949641738,-0.133932506187666,0.128923003055503,-0.146747636236977,0.262855509243169,-0.0128151300493116,-0.27567063929248,0.454658745701062,0.361049317099389,0.16314118138402,0.660654325670705,0.167392143901262,0.859483068702516,0.4854454035375,0.743974936014321,0.476138411599082,0.60147382364689,0.615078040721387,0.58540834316104,0.3087086900149,0.961903391325327,0.308733740985406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fumaric acid,5,6,6,6,6,5,14.1953123053855,14.1481242530044,13.1427877282386,14.1274082787529,13.8502145961768,13.8452198539185,0.0471880523811326,1.0525245771469,0.0679040266325739,0.34509770920873,0.350092451467001,1.00533652476576,0.0207159742514413,0.297909656827597,0.302904399085868,-0.984620550514324,-0.707426867938167,-0.702432125679897,0.277193682576156,0.282188424834427,0.00499474225827079,0.921491017080735,0.034825953982593,0.887230703987619,0.473086734893394,0.485773842646194,0.0345273077121939,0.963802990948772,0.515605114271551,0.528421972630108,0.0381208801080044,0.129130132222243,0.149940827650452,0.54502238832867,0.556814125101528,0.991675983853187,0,1,0,0,0,1,0,0,0,-1,0,0,0,0,0
Gerulic acid,4,6,6,6,6,5,14.0376880754982,14.3142701408754,14.3738540110538,14.2911695713749,14.7845733408526,14.0550983136854,-0.276582065377211,-0.336165935555533,-0.253481495876724,-0.746885265354333,-0.0174102381871979,-0.0595838701783222,0.0231005695004871,-0.470303199977122,0.259171827190013,0.0826844396788093,-0.4107193297988,0.318755697368335,-0.493403769477609,0.236071257689526,0.729475027167135,0.328506281320209,0.236949298453474,0.369830330451949,0.0121808320060972,0.952379097914609,0.8123845289535,0.926648771955312,0.0692797870826116,0.329028716145596,0.741996720374434,0.110081498860735,0.232056729493796,0.0574142689435137,0.373241829106325,0.00937250509456658,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1
Glucosamine-1-phosphate,5,6,6,6,6,5,17.4817903713405,17.2903372359682,17.6714473136561,17.7916787305161,17.5319697367863,17.7277951089126,0.191453135372285,-0.18965694231559,-0.309888359175602,-0.0501793654457963,-0.246004737572058,-0.381110077687875,-0.501341494547887,-0.241632500818081,-0.437457872944343,-0.120231416860012,0.139477576869794,-0.0563477952564675,0.259708993729806,0.0638836216035443,-0.195825372126261,0.482320185872708,0.486402494606653,0.258842094188316,0.853297510143973,0.388485637360806,0.148290138457828,0.0605565853896813,0.353972879469948,0.114938821246632,0.642705207738764,0.590700807204522,0.835520379684776,0.319704933564931,0.813923033266018,0.472465689946424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycerol,5,6,6,6,6,5,19.183758213206,19.3757904589329,18.9885587798427,19.4002470297454,19.3056656559593,18.9850162408587,-0.192032245726907,0.195199433363239,-0.21648881653941,-0.121907442753304,0.198741972347321,0.387231679090146,-0.0244565708125037,0.0701248029736021,0.390774218074228,-0.41168824990265,-0.317106876116544,0.00354253898408174,0.0945813737861059,0.415230788886731,0.320649415100625,0.499532328440493,0.492543798081283,0.447030536506282,0.667407121930107,0.503420345364576,0.159049560605277,0.927843072206533,0.795232361983531,0.174847687029295,0.135224764798811,0.246050156785805,0.99002037134603,0.726445337444775,0.150240387241428,0.263005102611402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycerol 3-phosphate,5,6,6,6,6,5,14.888983617302,13.9656397583984,14.8716403034044,14.1644863036976,14.5979522660435,14.5812469953417,0.923343858903618,0.0173433138976158,0.724497313604392,0.291031351258486,0.307736621960265,-0.906000545006002,-0.198846545299226,-0.632312507645132,-0.615607236943353,0.707153999706776,0.27368803736087,0.290393308062649,-0.433465962345906,-0.416760691644127,0.0167052707017792,0.0119439484026936,0.960080479969218,0.0439528427698592,0.403922964928932,0.398200411776077,0.00991130201500976,0.548552738107551,0.0636494061932934,0.0838475160424667,0.0395099110009165,0.410310384334781,0.40494144530162,0.196266170050952,0.23504684457266,0.9615478570363,1,0,1,0,0,-1,0,0,0,1,0,0,0,0,0
Glycolic acid,5,6,6,6,6,5,13.7726677794246,13.970987012058,13.8942924449069,13.9301256060298,13.9078231240088,13.9124764627363,-0.198319232633478,-0.121624665482376,-0.157457826605187,-0.1351553445842,-0.139808683311744,0.0766945671511028,0.0408614060282915,0.063163888049278,0.0585105493217348,-0.0358331611228113,-0.0135306791018248,-0.018184017829368,0.0223024820209865,0.0176491432934434,-0.00465333872754314,0.169505099061835,0.39448724762364,0.272391487254749,0.344763522283953,0.349345445801293,0.571913868454926,0.762826429443751,0.641253105422845,0.680550560704753,0.791250679710719,0.920343718728987,0.898045827282039,0.869097768233033,0.901028251086255,0.973839297619261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heptadecanoic acid,5,6,6,6,6,5,14.8604301499482,15.1093218697102,14.9801261324553,15.0974598841759,14.9947995455175,15.0171448950469,-0.248891719761925,-0.119695982507022,-0.237029734227631,-0.134369395569307,-0.156714745098682,0.129195737254904,0.0118619855342939,0.114522324192619,0.0921769746632428,-0.11733375172061,-0.014673413062285,-0.0370187625916607,0.102660338658325,0.080314989128949,-0.0223453495293757,0.0237868797616562,0.25999990056692,0.0306474931205035,0.207390690698563,0.160628407484909,0.203695690404,0.905735882864948,0.25838462104711,0.383501651219212,0.247146487178414,0.883546049563016,0.724830198164126,0.309900333977781,0.446915204142173,0.831613078669224,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Isomaltose,5,6,6,5,6,5,12.4132958488453,14.5248182076234,13.5730121852592,13.716193710035,12.4744789547966,13.6226309197917,-2.11152235877802,-1.15971633641387,-1.30289786118965,-0.0611831059512173,-1.20933507094631,0.951806022364156,0.808624497588378,2.05033925282681,0.902187287831715,-0.143181524775779,1.09853323046265,-0.0496187345324408,1.24171475523843,0.0935627902433378,-1.14815196499509,0.0214815244174744,0.191184352238298,0.160768752769216,0.944132249195696,0.191877115536475,0.258587023324684,0.358162475450517,0.0194014491872043,0.306200047330893,0.869761359583075,0.194004723290861,0.954678548120658,0.162625454580955,0.918283529422471,0.195508763680225,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lactic acid,5,6,6,6,6,5,15.4299269506716,16.0191031454941,15.8886481255219,15.4160420448216,15.5565615228341,15.559918938607,-0.589176194822462,-0.458721174850252,0.0138849058500501,-0.126634572162509,-0.129991987935323,0.13045501997221,0.603061100672512,0.462541622659954,0.459184206887139,0.472606080700302,0.332086602687744,0.328729186914929,-0.140519478012559,-0.143876893785373,-0.00335741577281468,0.0360132333850506,0.0973955933861962,0.958968479765015,0.639569250976792,0.645313374437405,0.612991129824303,0.0252124215369077,0.0804589533116599,0.0970743853130292,0.0744280561167566,0.203475404646803,0.229301054536504,0.586008451687951,0.594893761989752,0.990074098612447,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lauric acid,5,6,6,6,6,5,14.5012818815717,14.4363771108015,14.5301031544055,14.4730687774069,14.3402171058536,14.7264676967756,0.0649047707701911,-0.0288212728338024,0.0282131041647453,0.161064775718101,-0.225185815203924,-0.0937260436039935,-0.0366916666054458,0.0961600049479099,-0.290090585974115,0.0570343769985477,0.189886048551903,-0.196364542370121,0.132851671553356,-0.253398919368669,-0.386250590922025,0.585888063446212,0.808434646062535,0.812396706293663,0.182265097331789,0.0777827856191187,0.410913655879556,0.746254322841784,0.399020885886625,0.0201691246919244,0.615448992342751,0.101898434695208,0.10655746385297,0.246662880824941,0.040177722352901,0.00277851240884525,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1
L-glutamic acid,5,6,6,6,6,5,16.2250999615576,16.902337576996,16.4601469793668,16.5091534747394,16.8223237505985,16.4219235510268,-0.677237615438411,-0.235047017809201,-0.284053513181817,-0.597223789040953,-0.196823589469201,0.44219059762921,0.393184102256594,0.0800138263974581,0.48041402596921,-0.0490064953726161,-0.362176771231752,0.0382234283400003,-0.313170275859136,0.0872299237126164,0.400400199571752,0.00544957341759321,0.304755204742991,0.216854584186372,0.0128929737268314,0.409032636044522,0.0485176584023196,0.0772754416699557,0.711766022459082,0.041490573481815,0.820831548167846,0.102223620442483,0.866223107379744,0.155168715088427,0.700960811847833,0.0857785945089264,-1,0,0,-1,0,1,0,0,1,0,0,0,0,0,0
Linoleic acid,5,6,6,6,6,5,16.813224183676,17.1770488226756,16.8745909896524,16.7781076728815,16.9108444639832,17.072206906316,-0.36382463899961,-0.0613668059763484,0.0351165107945306,-0.0976202803071722,-0.258982722640024,0.302457833023261,0.39894114979414,0.266204358692438,0.104841916359586,0.096483316770879,-0.0362534743308238,-0.197615916663676,-0.132736791101703,-0.294099233434554,-0.161362442332852,0.0830499638762657,0.763988830357913,0.863510214966448,0.633342250911709,0.230763080315852,0.128289842173523,0.0480718806864873,0.178691819538523,0.608542271236259,0.621017846892977,0.852345122270592,0.337259130462325,0.497235269549758,0.157335380470854,0.432031073687184,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L-pyroglutamic acid,5,6,6,6,6,5,12.895363414774,13.0972970802583,12.9794638186767,12.8557646578526,12.8289634946929,13.0609799860583,-0.201933665484344,-0.0841004039027311,0.0395987569214142,0.0663999200810679,-0.165616571284323,0.117833261581612,0.241532422405758,0.268333585565411,0.0363170942000206,0.123699160824145,0.150500323983799,-0.0815161673815918,0.0268011631596536,-0.205215328205737,-0.232016491365391,0.445863995290704,0.749820303543037,0.880566642712859,0.80115682537827,0.548630240752658,0.639722927372177,0.340350116316126,0.290392666872901,0.890395571839929,0.6232220970993,0.550434631009748,0.757249184355965,0.915053240635675,0.438585215589387,0.381881741808867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
