Metabolites,Count_4,Count_pre,Count_6,Count_8,Count_10,Count_2,Mean_4,Mean_pre,Mean_6,Mean_8,Mean_10,Mean_2,Fold_change_4_vs_pre,Fold_change_4_vs_6,Fold_change_4_vs_8,Fold_change_4_vs_10,Fold_change_4_vs_2,Fold_change_pre_vs_6,Fold_change_pre_vs_8,Fold_change_pre_vs_10,Fold_change_pre_vs_2,Fold_change_6_vs_8,Fold_change_6_vs_10,Fold_change_6_vs_2,Fold_change_8_vs_10,Fold_change_8_vs_2,Fold_change_10_vs_2,P_value_A_4_vs_pre,P_value_A_4_vs_6,P_value_A_4_vs_8,P_value_A_4_vs_10,P_value_A_4_vs_2,P_value_A_pre_vs_6,P_value_A_pre_vs_8,P_value_A_pre_vs_10,P_value_A_pre_vs_2,P_value_A_6_vs_8,P_value_A_6_vs_10,P_value_A_6_vs_2,P_value_A_8_vs_10,P_value_A_8_vs_2,P_value_A_10_vs_2,Flag_A_4_vs_pre,Flag_A_4_vs_6,Flag_A_4_vs_8,Flag_A_4_vs_10,Flag_A_4_vs_2,Flag_A_pre_vs_6,Flag_A_pre_vs_8,Flag_A_pre_vs_10,Flag_A_pre_vs_2,Flag_A_6_vs_8,Flag_A_6_vs_10,Flag_A_6_vs_2,Flag_A_8_vs_10,Flag_A_8_vs_2,Flag_A_10_vs_2
Unknown 215,5,6,6,6,6,5,17.7281511419214,17.5244423194754,17.7314868493408,17.8335965224268,17.6935898163372,17.6737308627389,0.203708822445957,-0.00333570741942069,-0.105445380505422,0.0345613255841641,0.0544202791824766,-0.207044529865378,-0.30915420295138,-0.169147496861793,-0.149288543263481,-0.102109673086002,0.0378970330035848,0.0577559866018973,0.140006706089586,0.159865659687899,0.0198589535983125,0.119929397809346,0.979231643919985,0.413398130560792,0.787510823204325,0.684730792568908,0.0983515508492486,0.0164111287991687,0.173418421775957,0.249686904557431,0.406224790478945,0.756621978920269,0.652775277396796,0.257353684245743,0.218495925058361,0.876861829233196,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
Unknown 216,5,6,6,6,6,5,14.4617789384653,14.624536321029,14.8858676877655,15.1357921718243,14.662008525852,14.6531936855455,-0.162757382563692,-0.424088749300269,-0.674013233359073,-0.200229587386739,-0.191414747080184,-0.261331366736577,-0.511255850795381,-0.0374722048230467,-0.0286573645164925,-0.249924484058804,0.223859161913531,0.232674002220085,0.473783645972334,0.482598486278889,0.00881484030655422,0.601143795634339,0.179195178621181,0.037042320343441,0.520678666046118,0.556372692311737,0.380822567356098,0.0924863577805838,0.899316074709834,0.926487367185749,0.401681155378684,0.451990176946544,0.456026670821517,0.117673766464244,0.128155070744732,0.977357309076544,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 217,5,6,6,6,6,5,14.4633264198189,14.126330441741,14.1937461280012,14.0559903710324,14.9805775485489,14.5100887591822,0.33699597807791,0.269580291817656,0.407336048786451,-0.517251128729976,-0.046762339363319,-0.0674156862602544,0.0703400707085411,-0.854247106807886,-0.383758317441229,0.137755756968795,-0.786831420547632,-0.316342631180975,-0.924587177516427,-0.45409838814977,0.470488789366657,0.560388305837878,0.641002376897816,0.482174569329902,0.373446133832456,0.938153632876656,0.902482136906794,0.898275704482497,0.128416127328181,0.507676240597645,0.802386466174068,0.160096860070191,0.584530812681365,0.101033668520638,0.433833968873194,0.417613268159855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 218,5,6,6,6,6,5,14.667570741107,14.4651768563406,14.3736576834075,13.9425868248117,15.1213443755575,14.3964049466778,0.202393884766389,0.293913057699523,0.724983916295304,-0.453773634450503,0.271165794429173,0.0915191729331344,0.522590031528916,-0.656167519216892,0.0687719096627841,0.431070858595781,-0.747686692150026,-0.0227472632703503,-1.17875755074581,-0.453818121866131,0.724939428879676,0.75748635847205,0.654166317315579,0.273505428260889,0.490248076753173,0.692199062066044,0.883495243397066,0.405584029281671,0.298079019193544,0.91637385459174,0.491825714215797,0.237090957625103,0.972291759940238,0.0671371454793341,0.490205904825375,0.273534236018167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 219,5,6,6,6,6,5,16.0153274239939,14.6396342614106,14.8735221715435,15.2907773234749,14.7806597767266,15.1321896390296,1.37569316258329,1.14180525245038,0.724550100518977,1.23466764726723,0.88313778496423,-0.233887910132912,-0.651143062064317,-0.141025515316064,-0.492555377619064,-0.417255151931405,0.0928623948168479,-0.258667467486152,0.510117546748253,0.158587684445253,-0.351529862303,0.129697030523718,0.205619313640574,0.417864958425179,0.172139735247245,0.345475100927182,0.78275760531542,0.444812256247609,0.867900475487969,0.580610079294863,0.623313499163716,0.912775993480377,0.771260898037042,0.548623495708599,0.858465547894212,0.692959628043765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 220,5,6,6,6,6,5,14.5582907236791,14.6484680489029,14.5280262797298,14.4764236788462,14.5743058476605,14.1507520555579,-0.0901773252237597,0.0302644439493456,0.081867044832947,-0.0160151239813935,0.407538668121267,0.120441769173105,0.172044370056707,0.0741622012423662,0.497715993345027,0.0516026008836015,-0.0462795679307391,0.377274224171922,-0.0978821688143405,0.32567162328832,0.423553792102661,0.779914869800669,0.925237449543377,0.799719084979193,0.960393615919088,0.232353536845142,0.695679237315224,0.576880070392455,0.809505144143897,0.130657762977221,0.866756371043317,0.880385727170553,0.247785158260152,0.750452937467994,0.316965072007362,0.195830613884775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 221,5,6,6,6,6,4,16.4047637277457,15.9717666778879,16.3722662362389,16.2270072562715,16.0725757013753,16.0308186536655,0.432997049857759,0.0324974915068097,0.17775647147424,0.332188026370368,0.373945074080169,-0.400499558350949,-0.255240578383519,-0.100809023487392,-0.0590519757775905,0.14525897996743,0.299690534863558,0.341447582573359,0.154431554896128,0.196188602605929,0.041757047709801,0.0181604747321272,0.851693439151259,0.311005931756085,0.0642411211883904,0.0603148212456494,0.0215428696428858,0.131613703822264,0.54427624743222,0.750111639220168,0.384020458620156,0.078977377681668,0.0737439046386787,0.355156947092981,0.294539528628763,0.821729793204886,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Unknown 222,5,6,6,6,6,5,16.7885915467197,16.7681538804734,16.8261814568254,17.0199946939832,16.8968178144554,16.600906105601,0.0204376662462167,-0.03758991010573,-0.231403147263539,-0.108226267735798,0.187685441118621,-0.0580275763519467,-0.251840813509755,-0.128663933982015,0.167247774872404,-0.193813237157809,-0.0706363576300681,0.225275351224351,0.12317687952774,0.419088588382159,0.295911708854419,0.950035001925395,0.908252817084043,0.479993611039238,0.74026072397745,0.582685403915731,0.852015944733073,0.42075050391798,0.679519359766106,0.608936686387683,0.534540911063951,0.820387166655589,0.491597318637129,0.692435540517603,0.205382922480151,0.367774337219488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 223,5,6,6,6,6,5,17.4468632746428,17.3185294039591,17.3864655683549,17.249829372162,17.3201156446835,17.0975934476815,0.12833387068375,0.0603977062879473,0.197033902480811,0.126747629959279,0.349269826961336,-0.0679361643958032,0.0687000317970607,-0.00158624072447111,0.220935956277586,0.136636196192864,0.0663499236713321,0.288872120673389,-0.0702862725215319,0.152235924480525,0.222522197002057,0.588726331415018,0.798733533347343,0.408140057140493,0.593317792272468,0.165132878692249,0.7636112966823,0.76103814165872,0.994392692327125,0.354418904849965,0.546265564848001,0.768963460966199,0.228482984732309,0.755703673532664,0.521719914838904,0.351027838081736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 224,5,6,6,6,6,5,17.2172220385245,16.8520207308927,17.0279253718913,17.0254513581437,17.0918933599699,16.9106295948255,0.365201307631725,0.189296666633172,0.191770680380753,0.125328678554602,0.306592443698946,-0.175904640998553,-0.173430627250973,-0.239872629077123,-0.0586088639327791,0.00247401374758027,-0.06396798807857,0.117295777065774,-0.0664420018261502,0.114821763318194,0.181263765144344,0.281645751004301,0.573875723186951,0.568908587672285,0.70920873160482,0.385084284409014,0.58358697671704,0.588863104974497,0.45581535594567,0.86142215418891,0.993831983374443,0.841630525942232,0.727035724528363,0.835595880489468,0.732558264815428,0.590151319495633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unknown 225,5,6,6,6,6,5,19.0082265242867,18.6683431822896,18.7336783556522,18.6720462005885,18.728310787941,18.5986079364442,0.339883341997105,0.274548168634528,0.336180323698208,0.279915736345732,0.409618587842505,-0.0653351733625769,-0.00370301829889641,-0.0599676056513729,0.0697352458454006,0.0616321550636805,0.00536756771120395,0.135070419207977,-0.0562645873524765,0.073438264144297,0.129702851496774,0.0889155578370803,0.165604855036497,0.0922712353416992,0.157766610372908,0.0515694061961396,0.725012888769126,0.984075678975833,0.746752086673155,0.720365599352908,0.739986748481651,0.976919292153317,0.489466953832259,0.761875794090995,0.706224737457883,0.506745576686602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
