Metabolite,Tags,RefMet Nomenclature,Main class, Sub class,Wein_Pblank_1,Wein_Pblank_2,Wein_Pblank_3,Wein_1_B_2_3,Wein_2_Pre_6_3,Wein_3_C_6_3,Wein_4_B_2_2,Wein_5_C_6_2,Wein_6_D_6_3,Wein_7_Pre_6_2,Wein_8_E_2_2,Wein_9_E_2_1,Wein_10_E_6_3,Wein_11_D_2_2,Wein_12_E_6_1,Wein_13_E_2_3,Wein_14_C_2_2,Wein_15_D_6_2,Wein_16_A_6_2,Wein_17_A_6_3,Wein_18_B_6_3,Wein_19_A_2_1,Wein_20_Pre_2_3,Wein_21_B_6_2,Wein_22_Pre_2_2,Wein_23_D_6_1,Wein_24_D_2_1,Wein_25_A_6_1,Wein_26_C_6_1,Wein_27_E_6_2,Wein_28_C_2_3,Wein_29_A_2_3,Wein_30_C_2_1,Wein_31_B_2_1,Wein_32_B_6_1,Wein_33_A_2_2,Wein_34_D_2_3,Wein_35_Pre_6_1,Wein_36_Pre_2_1,Alternative Identifications
Arbutin,Confirmed ID (HIgh Confidence),Arbutin,Glycosyl compounds,Glycosyl compounds,0,0,0,263586.4663,177178.1497,48845.82913,187515.6957,104276.5869,92978.08287,97865.31689,41884.94672,57453.98582,165508.2391,44964.62937,171366.6264,266984.472,95129.45949,123684.9932,78908.23667,50158.89766,107505.2779,29985.52008,55878.19645,65039.59607,109020.8873,186251.0448,78213.47348,106994.0297,135640.5196,30289.56243,60847.80608,70202.73568,51536.88551,63666.55845,168964.6282,71812.68794,128668.5904,236205.491,128032.3665,[11333] lactulose 1 [23.867](0.764937);
behenic acid,Confirmed ID (HIgh Confidence),Behenic acid,Fatty acids,Saturated FA,1523.069816,91597.28734,98700.40135,170913.5288,142048.4577,394590.5183,228098.6076,248089.9833,172383.1202,441759.7249,263797.1131,377827.8227,197274.713,202894.6754,205207.0858,262577.0008,236286.0709,204529.3778,242189.5191,172614.0495,132582.8573,151420.306,248408.9418,345368.9899,184007.1108,270295.0786,209992.9871,230852.6795,249055.7092,225071.9956,252485.4992,202186.8491,208593.8007,224931.3913,282313.3739,355428.3073,188749.7733,214859.6102,192772.5022,behenic acid(0.855745);
"Benzene-1,2,4-triol",Confirmed ID (HIgh Confidence),"1,2,4-Trihydroxybenzene",Phenols,Benzenetriols,0,4379,0,10645.46279,5534.253317,3105.859581,16073.11146,9255.503634,6943.277284,47431.22852,29582.84475,18803.53906,0,16139.12151,13881.54051,29185.19708,22607.48915,7373.721056,4474.211129,6796.659638,5922.411076,6704.320078,9056.020463,17812.66488,8303.018321,9713.245323,23934.65416,10664.5911,13621.53288,11646.17347,25539.68682,28884.99123,21516.87683,9383.511944,10324.0292,13428.1175,11100.9952,11328.83117,29824.28382,"[10787] benzene-1,2,4-triol [14.164](0.797011);"
Campesterol,Confirmed ID (HIgh Confidence),Campesterol,Sterols,Ergosterols,0,596.9528888,0,214954.5808,206783.3147,284138.4396,232911.9031,263959.4653,219052.7991,329259.4332,218044.8069,294250.614,219348.2679,205784.4506,195231.803,237163.6427,209183.1767,199168.3004,214885.2639,225379.1864,165383.3485,193316.3567,176557.9325,262854.5122,174771.1601,206292.951,192473.6446,185208.5716,214530.6967,183510.8155,196366.3818,186399.0597,168767.586,188500.3541,216826.6516,206088.6195,192173.3711,169538.5237,167252.0853,[173183] campesterol [28.547](0.829764);
Capric acid,Confirmed ID (HIgh Confidence),Capric acid,Fatty acids,Saturated FA,5115.566216,9821.783422,4274.185768,19383.16777,20740.18442,29444.52381,20105.28466,22877.38571,22606.21943,28446.06964,21963.18414,25539.98073,15604.17242,22702.70482,22298.05273,26868.1834,24474.68737,22716.74425,25435.93543,22547.81898,14415.36818,17195.78389,22756.24952,28864.08354,22400.64487,24850.7008,18567.84258,30989.72113,24820.5002,24977.17999,18362.81845,23180.05215,13782.49471,14043.17791,24479.0691,26778.82292,16911.18488,20676.06047,20112.14697,[2969] capric acid [12.399](0.9749);[643798] citraconic acid 5 [12.513](0.617769);
Caprylic acid,Confirmed ID (HIgh Confidence),Caprylic acid,Fatty acids,Saturated FA,0,11524.04472,6093.645099,12154.84733,10803.17336,14503.46891,10185.00093,14672.71729,19728.01006,23927.88622,12457.77517,25073.35682,16191.98057,19666.50167,10981.98973,9612.408319,15670.31112,11813.1592,15163.85296,18065.21237,9413.221863,12462.71255,9211.048917,17044.93394,11434.06522,16552.70475,13193.38755,15281.95075,16554.70407,14499.82416,15005.98578,15635.54343,9339.994149,14656.41696,14217.29735,13430.9684,21539.27183,13678.55784,18326.48106,[379] caprylic acid [9.81](0.876012);
Carbonate ion,Confirmed ID (HIgh Confidence),Carbonic acid,Organic carbonic acids,Organic carbonic acids,254635.6256,809659.3686,466989.3061,996174.8808,1010018.426,545936.1859,1479555.464,1547357.761,1619964.125,1865083.476,1345411.405,1714029.242,1578876.989,1415718.319,1587456.682,1277879.586,1735088.454,1233057.577,1503170.123,1465382.446,680813.8706,1022744.781,622885.9532,810985.0094,917750.7871,1470622.607,1420952.307,1247916.712,1043872.547,1095401.098,1051236.089,1317903.892,929881.3533,1544210.206,1679984.43,1517953.529,2149019.532,1707040.069,1652200.332,"[767] carbonate ion [8.139](0.979592);3-hydroxypropionic acid(0.711775);oxalic acid(0.682038);[11266] 2-hydroxybutyric acid [7.852](0.629189);1,4-butanediol(0.622632);"
D-arabitol,Confirmed ID (HIgh Confidence),Arabitol,Monosaccharides,Sugar alcohols,0,0,0,0,32981.66913,0,13533.83215,13379.4878,4197.545251,35262.70893,1446.748685,0,13066.77164,6952.452891,1468.271251,0,4747.648396,0,17036.20431,17269.12289,5094.409605,9441.493735,11310.79546,9746.311292,21473.1248,10356.14011,10583.13003,10360.34618,14943.5901,0,0,11326.52258,5224.867265,7719.388906,0,15413.487,16406.4155,39530.69914,21102.609,D-arabitol(0.944672);D-xylitol(0.937845);D-ribitol(0.904988);ribitol(0.890137);[17106] L-(-)-fucose 2 [15.771](0.642641);[439746] 6-deoxy-D-glucose 2 [15.751](0.637533);
D-fructose,Confirmed ID (HIgh Confidence),Fructose,Monosaccharides,Hexoses,4637.669145,39602.89791,40018.42815,100297.3337,115029.3069,156759.0921,144830.5876,160213.8815,124586.569,165709.4935,132417.1271,198074.9619,159425.2644,154273.4433,124939.4377,154133.6088,138965.136,145669.6562,151414.7807,138250.7047,80077.44775,121701.2989,132848.9489,176355.0544,161681.6709,147430.2734,149298.1395,128417.5569,146005.1854,177656.8857,159734.1407,157113.3464,137314.1427,143804.497,168647.6354,180340.8437,158596.4863,142033.8227,139698.8418,D-fructose [major](0.833926);D-fructose [minor](0.798364);tagatose [major](0.7821);gluconolactone [minor1](0.634105);gluconolactone [major](0.622619);gluconolactone [minor2](0.614594);D-gluconic acid [minor1](0.612993);
D-galactose,Confirmed ID (HIgh Confidence),Galactose,Monosaccharides,Hexoses,0,0,0,82246.94525,58942.7598,83224.5027,60124.38971,54787.85772,341604.9533,103645.3991,160871.1799,84069.62375,78796.18693,75931.05007,557501.424,53262.51625,53619.39588,63871.43244,208105.5923,53913.01167,28347.88933,47912.13282,54428.66289,254934.7229,52310.30411,65293.06215,52764.33547,86905.84326,65647.1667,61243.26797,35143.57955,189333.7,36211.17732,200721.2579,85400.36427,61259.83275,66985.08906,72910.90938,43299.19239,D-galactose [major](0.856111);D-mannose [major](0.85157);gluconolactone [major](0.8105);D-glucose [major](0.808989);[441035] talose 2 [17.584](0.80775);D-mannose [minor](0.789313);gluconolactone [minor1](0.739555);[448388] D-allose 2 [17.521](0.739119);[441032] D (+)altrose 2 [17.46](0.729676);[16219957] sedoheptulose anhydride monohydrate [17.766](0.700742);gluconolactone [minor2](0.687711);D-gluconic acid [minor1](0.659019);[16213610] glucuronic acid 4 [17.754](0.655761);[16213610] glucuronic acid  2 [17.754](0.653963);[441032] D (+)altrose 1 [17.397](0.650298);[439373] L-gulonic acid gamma-lactone [17.647](0.621303);
D-glucose,Confirmed ID (HIgh Confidence),Glucose,Monosaccharides,Hexoses,0,0,0,579883.5508,719888.7349,423341.0087,1574501.401,532823.0507,669251.1062,1697791.189,263077.2667,628020.2762,3821548.637,532576.8621,1185133.03,350613.141,423347.0338,354455.33,401376.1316,416104.4457,818547.5559,419767.6551,557092.1452,471833.1887,943716.1366,828710.0865,631147.8135,1325262.061,693999.8175,457100.9931,314169.6146,453305.918,324939.8037,353706.3284,970334.2135,356204.5425,1004495.577,721904.2004,600022.8566,D-glucose [major](0.958422);D-galactose [major](0.958303);D-mannose [major](0.939141);D-mannose [minor](0.928182);gluconolactone [major](0.855045);[441035] talose 2 [17.584](0.833906);gluconolactone [minor1](0.755679);[448388] D-allose 2 [17.521](0.747156);D-glucose [minor](0.74245);[441032] D (+)altrose 2 [17.46](0.726015);D-galactose [minor](0.722115);[16213610] glucuronic acid 4 [17.754](0.637817);[16213610] glucuronic acid  2 [17.754](0.635482);[441032] D (+)altrose 1 [17.397](0.633611);gluconolactone [minor2](0.625644);D-gluconic acid [minor1](0.620708);[439373] L-gulonic acid gamma-lactone [17.647](0.604435);
D-mannitol,Confirmed ID (HIgh Confidence),Mannitol,Monosaccharides,Sugar alcohols,0,0,0,265759.0062,757571.4346,163063.614,359681.8212,267247.0367,332062.9874,534880.7862,168591.0669,273082.743,513339.9283,374688.5521,336087.3638,201315.2016,258885.3546,233430.2124,360521.0745,463527.0421,238273.4144,475478.998,585029.0316,320367.146,1756055.567,398817.2677,333221.2942,444711.3441,523575.9369,600275.4002,284720.1657,468344.1679,257607.8281,327501.4192,350160.0126,271142.1847,441217.7933,724503.6533,904301.6806,[6251] D-mannitol [18.130](0.977533);D-sorbitol(0.965862);D-galactose [minor](0.908228);D-glucose [minor](0.903205);galactitol(0.892429);[802] 3-indoleacetic acid [18.089](0.714896);D-mannose [minor](0.701313);[835] dehydroascorbic acid  6 [18.006](0.668487);D-glucose [major](0.635039);
D-xylose,Confirmed ID (HIgh Confidence),Xylose,Monosaccharides,Pentoses,0,0,0,11352.58765,17480.01295,13818.91868,7007.861154,8986.745512,7679.887897,23971.68024,10544.90967,15845.79877,14743.39499,14049.54615,8392.311564,6187.355219,5108.591811,13824.84691,12566.58507,13770.4045,9126.01489,7201.748232,11876.10131,9137.848412,14919.388,15303.3918,10853.07291,13916.29537,18782.83138,13962.92933,5073.561203,7559.192731,3432.132173,10948.08729,9200.945319,3912,6920.156257,18650.1868,12607.27135,D-xylose [major](0.90475);D-lyxose [major](0.888305);L-arabinose(0.883048);D-lyxose [minor](0.85652);D-xylose [minor](0.854992);D-ribose(0.769568);[156807] D-lyxosylamine 2 [14.861](0.754163);[111064] ribonic acid-gamma-lactone 2 [15.154](0.69527);[8299] acetol  2 [15.293](0.618957);[156807] D-lyxosylamine 1 [14.737](0.600003);
Ethanolamine,Confirmed ID (HIgh Confidence),Ethanolamine,Amines,"1,2-aminoalcohols",19765.18961,32447.46114,20271.42741,28720.43304,42994.02539,30594.52224,23505.42936,39154.45196,30083.11475,30658.36585,43252.47514,23555.46872,53397.63045,31828.44338,43238.54058,31096.74958,41633.18886,76490.05345,40409.32891,45698.48369,30906.26679,31228.69641,30399.43956,43973.51812,46114.33631,47593.85488,34036.95667,49602.52234,48550.61388,48263.40875,48497.61543,48965.58297,34477.07907,33208.67711,49363.8271,42306.25704,46053.01396,47875.11566,41106.81885,ethanolamine(0.850541);[1647] 3-aminopropionitrile 2 [9.927](0.628351);
Fumaric acid,Confirmed ID (HIgh Confidence),Fumaric acid,TCA acids,TCA acids,5652.021278,9412.111114,7218.56983,21340.84273,24273,21532,27766,5303.187014,19416.7682,7883.13287,34610.79796,6087.738476,20724.6133,35222,24631.05164,28374.40546,15708.06747,19417,10563.81202,30165,15768,16189.39377,17474.65233,14241.13787,29531.55036,23761,17976.90188,19064,10414.04611,12220.69518,10666.43842,9747.368536,6624.599794,22321.50676,38208.91544,27321.60969,10801.36026,31046.88635,30550.29318,fumaric acid(0.810717);
Gerulic acid,Confirmed ID (HIgh Confidence),-,,,0,5391.651474,7446.156653,9201.825735,16133.25118,31562.21956,0,29863.94124,18666.59525,56992.3567,37427.70616,45544.63635,45472.59014,17928.46874,41077.5285,27265.02197,20060.55774,21130.82728,17677.53611,14143.66779,15765.8558,17883.5467,31292.7005,26211.0042,14100.48338,35761.40778,22543.75202,30452.08433,32562.57648,20926.15438,21153.34798,18186.22221,16955.64733,19752.8153,37243.27376,24181.70701,21234.78439,24456.73892,18837.60995,ferulic acid(0.894355);
Glucosamine-1-phosphate,Confirmed ID (HIgh Confidence),Glucosamine 1-phosphate,Monosaccharides,Amino sugars,30777.10888,72385.77534,64241.51285,238137.6453,213598.5656,274139.2802,201537.1625,220925.9141,240057.4575,78782.09628,275627.6621,278000.3997,176137.5155,304471.1799,180470.3879,224942.6447,234660.3276,228994.3033,242046.1083,228560.1506,162302.8485,238033.7041,256439.5153,257039.37,245451.3452,244155.7431,278514.4148,292607.11,255254.7703,304000.4591,240580.6902,258723.3971,228678.1459,259978.9981,224566.1545,269631.4555,223543.6407,214608.8669,195132.1375,glucosamine-1-phosphate(0.918686);[11005] myristic acid [16.887](0.737632);[94214] methyl-beta-D-galactopyranoside   [16.935](0.678163);[835] dehydroascorbic acid  1 [16.863](0.623661);
Glycerol,Confirmed ID (HIgh Confidence),Glycerol,Alcohols and polyols,"1,2-diols",161296.7927,192541.7656,166084.5297,845739.9193,968342.8633,1063640.377,762309.4492,904804.8193,1043593.261,1275140.304,984028.834,1215713.714,852758.6488,1041975.698,798682.3932,714989.6322,853350.0752,775065.3101,818293.4204,928246.2549,678463.7501,751849.7819,523120.5381,515618.0254,553451.8815,508065.4821,549138.2106,407145.2472,460937.6637,456927.1851,343363.0338,403689.2798,367438.4207,819206.7483,726686.8047,705874.1247,870158.4692,833437.5623,869990.8834,[753] glycerol [9.941](0.864967);[1004] phosphoric acid [9.966](0.782186);
Glycerol 3-phosphate,Confirmed ID (HIgh Confidence),sn-Glycero-3-phosphate,Organic phosphoric acids,Organic phosphoric acids,0,0,0,19867.24944,12601.57878,26060.81448,58269.21571,53843.47396,15030.4638,42944.98542,54284.50213,44197.39193,20175.72339,17149.83636,22814.09301,46929.77836,59504.4723,17982.75862,30842.54687,19485.33214,18350.02021,10815.88761,17212.90937,49963.30324,10851.82242,26992.6194,24875.01646,21267.01628,23313.72689,16130.77188,35520.094,20266.56659,25316.58182,36343.76247,53018.2819,80060.47064,22966.96476,26258.37507,16519.17911,"[754] glycerol 3-phosphate [16.056](0.803409);[1015] O-phosphocolamine [16.232](0.683635);[439183] 3-phosphoglyceric acid [16.504](0.65931);[90301] 2,4-dihydroxypyrimidine-5-carboxylic acid [16.062](0.652273);[13945] 2'-deoxycytidine 5'-monophosphoric acid [16.352](0.621728);[439183] 3-phosphoglycerate [16.495](0.621147);[59] 2-phosphoglyceric acid [16.358](0.60307);[68841] O-phospho-L-serine 1 [16.193](0.601025);[3246323] O-phospho-L-threonine 1 [16.142](0.600844);"
Glycolic acid,Confirmed ID (HIgh Confidence),Glycolic acid,Fatty acids,Hydroxy FA,5301.79848,12336.88141,7620.380266,13865.60072,14434.29002,17072.52399,16570.03558,15874.06669,14179.99704,20950.57622,17494.52323,20272.79076,19520.65561,13990.17871,19325.0999,18908.85776,19419.05158,15481.477,19849.97386,14564.54881,12736.73453,12536.96915,16512.52218,16423.15504,19507.98179,21396.88933,19280.56759,18633.28511,19871.95864,18733.28541,17236.97067,18852.28499,16671.69859,15395.07735,24450.66512,20111.87569,21287.31276,21680.86961,21228.28641,glycolic acid(0.922232);lactic acid(0.604755);
Heptadecanoic acid,Confirmed ID (HIgh Confidence),Margaric acid,Fatty acids,Saturated FA,13996.14047,19677.59313,20790.91088,34810.75288,37601.41238,40217.11455,32611.0732,34640.08155,38534.23204,49531.4712,38805.08299,47655.83049,44721.08376,34981.47931,37845.12653,36908.31352,38337.10693,32841.9526,35943.20658,40344.02001,20694.51633,22183.33362,34097.58733,43393.97768,37518.05222,46764.10317,39165.11478,37969.4706,44776.02303,37699.44397,38980.40983,38755.48896,29485.2903,37832.69554,49997.66902,44024.14103,42696.57353,46520.06586,46021.07655,[10465] heptadecanoic acid [19.8](0.951743);
Isomaltose,Confirmed ID (HIgh Confidence),Isomaltose,Disaccharides,Disaccharides,0,0,0,15734.02669,39487.33471,27002.84654,3257.791003,11735.09512,17433.38845,40715.52988,26618.87699,29848.32922,2564.74373,21921.82914,223.9907436,12560.65851,5523.360193,18930.09297,9326.925789,16535.85864,1264.788069,15324.06612,17010.71647,25643.27543,29455.59867,0,13056.01181,10160.78915,11308.98242,21302.82966,20678.74137,22443.50979,19300.04338,24792.53767,6357.033601,21267.59971,7056.290161,39418.41046,14129.28306,[439193] isomaltose 1 [25.625](0.794593);[439559] palatinose [25.482](0.766552);[6255] maltose  2 [25.401](0.653987);
Lactic acid,Confirmed ID (HIgh Confidence),Lactic acid,Short-chain acids,Short-chain acids,53834.83977,74154.86306,45113.3919,74477.43592,71847.92254,97564.96355,72005.06896,99300.56906,53630.8282,94430.12048,59404.96118,56972.27819,37161.41159,40450.72536,80985.1577,87051.86861,87580.15382,44506.18064,49949.48864,48754.79426,38580.12692,32310.11545,54714.7627,39133.59159,80641.71893,53907.15496,43659.68951,38369.85267,44360.507,50800.41783,40490.02372,86091.07105,78897.79142,36383.90907,45309.57164,76615.09878,57312.24316,98791.91093,75851.59088,lactic acid(0.923823);glycolic acid(0.764958);
Lauric acid,Confirmed ID (HIgh Confidence),Lauric acid,Fatty acids,Saturated FA,0,12040.30267,12662.93321,25094.42331,22953.18061,31325.74704,23912.62347,22349.08675,25407.02883,36761.59314,26667.54655,31219.95192,17579.83436,28957.60265,24369.58904,27702.58888,34074.88868,27957.80551,32250.23192,26763.46715,18445.75864,19516.49858,23991.17084,34403.38658,24858.32406,26941.53361,21992.37398,35640.67558,32915.94769,28966.34902,25061.95441,30876.34169,21491.51458,17866.28591,38551.28298,36115.60393,21166.1653,23400.86183,26375.13724,[3893] lauric acid [14.789](0.885808);
L-glutamic acid,Confirmed ID (HIgh Confidence),Glutamic acid,Amino acids and peptides,Amino acids,0,0,0,68486.12002,141244.656,109128.1842,111227.6807,103612.2333,106682.6765,152712.9017,138770.2421,117962.0328,197609.9415,66478.55716,165952.5421,134153.0038,100517.1886,61386.67849,100612.1847,97806.85717,86716.05916,37595.85368,124799.9954,87614.74568,152355.0004,151326.0069,128016.0049,84845.18677,141896.8994,120890.4552,107408.4582,123080.4354,74763.70339,107059.5025,99736.37105,118965.5151,145567.3963,119312.4187,180530.5859,L-glutamic acid [major](0.937191);3-hydroxy-3-methylglutaric acid(0.629576);
Linoleic acid,Confirmed ID (HIgh Confidence),Linoleic acid,Fatty acids,Unsaturated FA,18350.58454,23612.78632,56847.11667,106521.3449,169889.1912,104865.8941,117335.5021,120708.135,111773.1811,310807.9976,102926.9422,191824.0384,236631.9148,114334.0328,187877.3247,120679.0594,142783.8624,141284.2312,195111.0345,125886.1926,86073.64121,105456.7252,122077.8106,187052.1889,157609.2284,126354.7659,164002.1617,156588.6066,202599.526,118767.1526,156102.161,188200.8224,126985.3712,131397.3427,220222.5853,160838.3385,100420.6989,199639.0911,136524.7958,[5280450] linoleic acid [20.399](0.971566);
L-pyroglutamic acid,Confirmed ID (HIgh Confidence),Pyroglutamic acid,Amino acids and peptides,Amino acids,653.0526779,6174.533777,4003.90122,12416.10116,11848.11369,6490.423726,5757.612017,12179.30186,7110.698483,12640.76964,11341.01046,7107.373213,10613.64677,4593.872092,9275.614564,6549.07546,10061.3899,8359.966026,7805.382447,9925.497592,5284.382228,6062.431805,5142.914158,10820.08208,9884.25285,11012.96262,7922.375177,10536.17726,12592.84202,10264.74568,8231.997645,10544.15124,8116.482445,10395.3339,13744.86364,12407.71764,12982.5085,12654.07643,12295.92562,L-pyroglutamic acid(0.871523);[5810] trans-4-hydroxy-L-proline 2 [13.524](0.616832);
L-Sorbose,Confirmed ID (HIgh Confidence),Sorbose,Monosaccharides,Hexoses,0,0,0,806,22801.79599,3245.535031,12918.8545,7788.422152,6248.771467,32242.75499,262.0869787,4195.934339,19942.12384,6581.994576,0,0,0,3210.115401,6502.280904,2554.098868,4236.969989,7479.447218,6782.060612,2810.380473,19804.91917,10103.92581,13941.89342,18736.59959,3139.247965,3545.226075,1895.301269,1045.581169,1327.806351,602.5441328,11812.6387,3231.370453,8089.866513,26295.58164,17192.93883,[1101] L- sorbose 2 [17.235](0.874825);tagatose [minor](0.834529);[1101] L- sorbose 1 [17.187](0.828701);D-fructose [minor](0.695557);tagatose [major](0.679038);
Maltose,Confirmed ID (HIgh Confidence),Maltose,Disaccharides,Disaccharides,1700.785127,0,0,5358.884728,0,6453.53999,13052.45848,48092.91617,6353.646752,21609.62635,3388.635032,34377.49932,88732.63643,12996.5524,6204.18433,13713.20179,4174.521209,16577.28073,13470.62187,18803.87254,6518.033155,7485.809208,1869.762782,4041.619699,4693.388241,42330.44471,7593.832796,2460.575879,3399.067047,7739.249112,7434.116939,4329.445229,12066.76676,4275.25183,6205.931736,10558.56682,2934.68779,8935.644619,15687.72094,[439559] palatinose [25.482](0.850408);[6255] maltose  2 [25.401](0.835653);[439193] isomaltose 1 [25.625](0.697416);[16219560] lactobionic acid 3 [25.406](0.651496);
Myo-inositol,Confirmed ID (HIgh Confidence),Myo-inositol,Alcohols and polyols,Inositols,0,0,0,260541.4124,358725.2336,283591.3771,189232.4065,248856.8695,259083.4818,394777.3326,280054.3256,315964.0059,227933.7613,301235.0636,194869.3647,175228.0115,238554.9104,224843.255,205965.2779,310245.6851,200080.4951,283134.9998,325408.5683,256094.991,340574.9079,298144.2902,322457.9837,273181.7473,290150.5124,298445.591,264033.1173,253055.1221,238622.6237,328485.9703,191556.3168,249696.1539,292036.553,322935.6275,270460.2509,[892] myo-inositol [19.707](0.956224);[101713] glucoheptonic acid 2 [19.615](0.725538);N-acetyl-D-mannosamine [minor](0.606338);
Myristic acid,Confirmed ID (HIgh Confidence),Myristic acid,Fatty acids,Saturated FA,31843.84847,81961.76957,73155.13187,6831.964994,93081.73839,9308.052408,129639.5269,170005.8467,177232.9469,16477.26746,167560.0886,15298.37009,117400.1294,172147.6277,89584.09583,146739.458,16777.10564,17170.36236,103137.734,104499.5332,103484,9248.233478,149599.5714,15906.99886,116988.2514,146268.7631,164745.7797,16359.23706,3334.786115,15909.18634,155878.7034,110622.7104,145210.2659,155948.1973,26365.62812,28874.00031,100282.1349,12560.32438,96475.53433,[11005] myristic acid [16.887](0.824317);
nonanoic acid,Confirmed ID (HIgh Confidence),Pelargonic acid,Fatty acids,Saturated FA,373223.63,459291.3538,478546.1039,422135.2739,457904.7297,474606.4815,530315.4925,478436.3051,485780.1875,467186.8021,468061.3689,537370.8722,494721.2624,478313.6294,465844.7654,480844.3893,507737.273,488484.5056,466812.2661,487390.6116,405396.0509,443033.9502,461532.4333,460594.8767,524499.1867,473439.0468,485026.2287,459152.7046,456573.2004,515805.753,510163.3704,471532.0043,483317.4535,466493.0975,513468.0706,477329.5833,484959.1192,462145.5592,435062.9814,nonanoic acid(0.811121);[1136] 4-methyl-5-thiazoleethanol  [11.256](0.633825);
Oleic acid,Confirmed ID (HIgh Confidence),Oleic acid,Fatty acids,Unsaturated FA,8031.950615,50258.26083,38637.77671,53372.83812,72965.66469,71614.56428,78927.99168,74726.84232,58406.96421,125970.667,65683.57059,76447.13741,78932.77855,64077.80525,98127.74741,82501.80426,71503.86199,63235.70193,83392.6223,58248.86475,58114.26821,62760.54406,60540.98714,86536.76979,77737.80795,89812.49218,78369.04189,84207.11759,101094.5763,68197.56824,81137.84686,82346.2874,72834.85867,65758.419,107725.7119,90723.09868,78470.36603,90375.57078,79189.80089,[445639] oleic acid [20.504](0.960688);
Palatinitol,Confirmed ID (HIgh Confidence),-,,,0,0,0,13941.36019,17327.66351,18412,0,14514.99673,18401.91259,19713.72617,10184.55515,12186.53539,11910.82264,30671.41172,4009.234436,917.0164101,47910.02511,2083.680777,14757.02364,27791.2322,11011.76,31351.5771,13432.36627,5225.6406,12006.87812,71985.16911,59847.67337,16409.67012,28195.60574,15122.46681,47104.52974,46717.21585,25383.55586,30719.83482,2787.860514,5807.363422,21120.24831,18269.6106,34520.66005,[3034828] palatinitol 2 [26.01](0.807577);[3034828] palatinitol 1  [25.922](0.735333);[16212335] loganin [25.963](0.675191);[439451] galactinol 1 [26.055](0.624457);
Palatinose,Confirmed ID (HIgh Confidence),Palatinose,Disaccharides,Disaccharides,0,1844.832145,267.9716456,8837.724984,28790.76896,31201.22022,53061.49879,33764.8495,22137.33467,34644.57062,28348.96141,30682.51571,53220.91172,25040.65861,36345.32241,34558.48583,19092.94175,35288.35125,11333.49517,14136.45606,35417.55653,12618.94563,15640.82188,16611.43848,20502.15293,32299.89434,27233.40354,17109.54348,10171.50236,24177.79361,15786.26932,21149.49666,20192.83295,29198.92663,43816.26812,16073.93506,19721.01955,37533.06445,11002.35893,[439559] palatinose [25.482](0.852911);[439193] isomaltose 1 [25.625](0.792264);[6255] maltose  2 [25.401](0.783756);[16219560] lactobionic acid 3 [25.406](0.600384);
Palmitic acid,Confirmed ID (HIgh Confidence),Palmitic acid,Fatty acids,Saturated FA,3928240.481,5360918.584,2982737.526,4770615.678,5532566.977,5681914.177,5257410.483,5759604.963,4584049.804,11017844.95,5769216.509,7882826.414,5101828.071,5186206.957,5082130.282,4740936.456,4636751.938,4533794.77,4718492.144,3924870.977,3154612.151,3194960.807,5832098.823,6581503.6,6993794.83,5563807.765,4898027.472,4525124.621,6619350.02,3648860.159,4182355.822,4315578.722,5325737.684,4259338.022,7305301.623,5143664.936,4287921.547,4802172.975,6218618.701,[985] palmitic acid [18.846](0.99428);
Palmitoleic acid,Confirmed ID (HIgh Confidence),Palmitoleic acid,Fatty acids,Unsaturated FA,0,8724.380994,10768.47754,17165.29923,23676.55372,24481.51765,23850.65454,22124.2788,20868.77579,34773.88666,26876.48181,28182.4122,24744.0708,20147.13258,25139.86196,27087.34922,25793.69793,21996.35154,28090.78696,23203.26775,14454.98104,18109.38422,22560.68254,31175.40218,25985.55483,28813.01603,24366.17312,25624.3815,31422.33039,27633.06788,26293.6669,27571.63462,24744.21909,22780.11151,30494.44556,30384.76466,27161.82325,28164.1325,25348.81882,[445638] palmitoleic acid [18.728](0.980466);
pentasiloxane,Confirmed ID (HIgh Confidence),-,,,31959.5984,60012.21436,32309.2109,133797.9853,339411.9828,351823.4602,69334.61603,75557.6791,428848.793,520053.8222,230194.6794,558032.569,278646.5317,162281.2598,141833.2576,125937.3291,85253.49598,169198.4592,93217.68801,298393.973,58338.96401,125035.2793,78105.53031,98906.29275,179120.3742,101998.5082,78812.3379,115346.2684,108522.765,417637.9907,57155.67415,85865.03506,122637.2408,404652.2635,223691.0557,121075.7486,425512.5142,332006.8388,309772.8814,pentasiloxane(0.985266);
Porphine,Confirmed ID (HIgh Confidence),Porphyrin-ring,Porphyrins,Porphyrins,46533.53175,83746.60307,78267.94833,182776.9961,205653.7804,262654.3614,277013.612,324213.0985,360937.6744,378407.5414,353575.9056,472604.1948,508361.5774,433179.9002,552348.8848,518527.0098,558550.021,529860.5022,595569.636,762302.7694,107656.0783,149421.5043,191173.6658,223267.5202,271592.81,239701.837,310316.9607,313411.6398,230652.6874,232645.7606,383106.0836,384560.6038,433952.0713,433303.9829,358280.8078,556655.5448,614849.0699,637432.6964,602243.2426,[66868] porphine 1 [10.77](0.833305);
