Metabolite,Tags,RefMet Nomenclature,Main class, Sub class,Wein_Pblank_1,Wein_Pblank_2,Wein_Pblank_3,Wein_1_B_2_3,Wein_2_Pre_6_3,Wein_3_C_6_3,Wein_4_B_2_2,Wein_5_C_6_2,Wein_6_D_6_3,Wein_7_Pre_6_2,Wein_8_E_2_2,Wein_9_E_2_1,Wein_10_E_6_3,Wein_11_D_2_2,Wein_12_E_6_1,Wein_13_E_2_3,Wein_14_C_2_2,Wein_15_D_6_2,Wein_16_A_6_2,Wein_17_A_6_3,Wein_18_B_6_3,Wein_19_A_2_1,Wein_20_Pre_2_3,Wein_21_B_6_2,Wein_22_Pre_2_2,Wein_23_D_6_1,Wein_24_D_2_1,Wein_25_A_6_1,Wein_26_C_6_1,Wein_27_E_6_2,Wein_28_C_2_3,Wein_29_A_2_3,Wein_30_C_2_1,Wein_31_B_2_1,Wein_32_B_6_1,Wein_33_A_2_2,Wein_34_D_2_3,Wein_35_Pre_6_1,Wein_36_Pre_2_1,Alternative Identifications
Unknown 228,,,,,2118.637418,11106.72454,1585.308896,259133.8857,250657.5613,319215.0132,298811.372,250110.1093,250716.3109,311344.4455,308338.2125,259433.6639,225763.1987,221752.5867,210137.9947,162998.0928,230847.1935,190935.1727,241532.6946,202167.3688,147083.895,387730.2999,250824.3534,246735.3946,287883.1781,288040.2584,221381.7125,195311.7476,229249.9249,225160.3608,136505.1778,195458.9362,176522.304,208273.2394,180695.9692,203155.3695,151047.376,147048.1494,191396.198,
Unknown 229,,,,,0,0,0,26853.75814,26126.84306,65336.14375,18497.63987,49763.39106,0,61672.10713,29782.53352,137072.7295,12140.27818,54383.43935,16126.44805,32871.83896,41388.81326,44689.1832,40690.94337,28882.4421,6170.903704,19847.82146,558.2017292,37720.35303,14516.39666,0,15601.79074,20114.90417,24414.09071,11238.76803,14976.67606,8283.498758,3208.783939,17186.41991,21346.39682,41458.66737,18235.11307,7326.628113,3602.39685,
Unknown 230,,,,,0,0,0,28435.86111,23877.17146,63998.7107,16624.78228,49575.5279,2823.839268,58210.25256,27054.29391,134132.2624,13777.87602,54211.32771,16126.44805,28771.59093,39875.86755,41679.36434,37601.62544,27820.30507,6504.464254,17259.83336,3094.235835,39399.89177,15039.51235,71.33356587,13038.51509,19107.0702,21599.90834,9990.856215,12912.65463,7933.562643,3839.303472,17000.98312,21423.85744,38468.77434,15207.12203,7428.38776,3602.39685,
Unknown 231,,,,,730.1616792,340.4654208,0,49032.34574,35450.07721,59702.47066,48300.33799,46192.7417,23815.82605,65221.82212,21607.0884,63801.07668,37964.91295,23524.03464,31620.94818,33341.42661,13011.34805,20087.02643,30243.04795,14960.06273,14140.39119,44232.23375,21381.07848,26403.56039,9775.497317,30747.56924,20980.89385,12658.9194,0,5912.451408,11606.43154,13034.83731,19190.99317,31.08262544,6005.827061,8437.264323,21287.33731,0,11024.92139,
Unknown 232,,,,,1420.986294,1262.499845,1416.34811,249746.6303,226749.4093,355421.4476,478568.3511,405840.3449,294553.824,655730.2363,305261.9999,414655.4119,687324.1453,264052.878,491157.9175,267815.0514,372699.5458,244871.7011,337104.2114,200908.4089,299889.7294,172244.7701,268727.1912,384187.1,69568.06444,419656.2874,295639.3341,552187.8778,258070.6755,219301.2426,178341.9173,199481.5794,161746.4899,203769.7149,363449.4739,333819.0779,197114.9482,145812.0827,157304.1222,
Unknown 233,,,,,278.9740063,739.2572357,763.7379452,187675.573,169608.2522,39729.60071,95656.11108,289985.8153,39160.11877,49623.24311,237669.6693,39166.37597,422478.9366,38894.04401,10850.74541,25939.36472,59780.72895,25628.43175,49678.85628,143080.0669,18457.30582,17248.41826,41981.99353,39895.40944,11216.29993,276727.5249,203301.6087,349598.2879,33815.02155,170393.8009,19060.3391,18668.91544,16565.17701,131281.5385,25959.44121,271574.6404,23934.60355,20231.5972,15183.97169,
Unknown 234,,,,,647,4616.343534,6650.43408,163405.7709,189119.63,196917.1713,197516.4199,214683.774,208181.754,246279.3731,154642.8046,167429.4996,240642.9974,153787.1252,207355.8132,188766.0389,169467.5141,162635.121,187910.3633,174164.3045,146938.6537,179742.7302,64797.02511,219532.4847,176687.8685,193048.9564,145856.3723,138578.9664,185548.7567,103235.8815,155082.1932,157612.4497,146560.2984,145317.0454,152454.4878,148285.6052,172936.6446,149362.8053,149030.5584,
Unknown 235,,,,,1164.668733,0,9640.847221,210982.4827,122506.7551,319490.8355,142421.9946,113552.9798,134403.9464,204122.2883,154863.8057,369237.5471,180847.7487,151318.2962,53571.42537,89124.85423,143900.1848,256063.0848,210820.4547,159438.2571,135360.2503,92398.81506,567017.6541,150006.5646,168275.0407,136079.2025,143315.52,244575.481,139173.8135,116525.067,94011.68176,58361.24256,88005.75764,85961.2474,106769.0377,254724.6425,83162.99102,45478.55529,62256.11349,
Unknown 236,,,,,1164.668733,0,6650.43408,179831.9017,83789.75314,185987.0472,126368.2538,85309.83529,98850.01946,86046.74994,172360.72,241858.2065,128486.4918,116448.5661,46215.68452,119205.0051,158161.8986,187595.8797,161957.5194,84186.11082,108350.7245,73664.52111,424581.4395,99147.09108,111065.0407,40414.4928,112411.0797,181598.3295,118803.7399,87216.58311,69493.94053,45865.05144,68674.89257,64224.98801,96725.81137,187253.2484,51126.17505,32930.91947,69518.38581,
Unknown 237,,,,,0,4080.191771,183.831581,260373.0137,304470.6338,428745.3151,409477.7835,303067.6469,234492.6802,304040.5228,263626.3185,272301.4578,295989.4551,166214.6203,272747.2871,212012.5714,214404.0837,193713.9597,298929.4818,146793.1374,155533.6565,121736.4434,181722.1283,213328.7773,195539.7067,245047.2552,165393.93,151739.7427,189042.9685,92429.93757,203858.3358,201178.4251,119400.9003,84154.11836,151294.201,184339.8675,26902.4705,0,158484.028,
