Metabolites,Count_-2_4,Count_-6_pre,Count_-6_6,Count_-6_8,Count_-2_10,Count_-6_10,Count_-2_8,Count_-2_6,Count_-6_2,Count_-6_4,Count_-2_pre,Count_-2_2,Mean_-2_4,Mean_-6_pre,Mean_-6_6,Mean_-6_8,Mean_-2_10,Mean_-6_10,Mean_-2_8,Mean_-2_6,Mean_-6_2,Mean_-6_4,Mean_-2_pre,Mean_-2_2,P_value_A_-2_4_vs_-6_4,P_value_A_-6_pre_vs_-2_pre,P_value_A_-6_6_vs_-2_6,P_value_A_-6_8_vs_-2_8,P_value_A_-2_10_vs_-6_10,P_value_A_-6_2_vs_-2_2,Flag_A_-2_4_vs_-6_4,Flag_A_-6_pre_vs_-2_pre,Flag_A_-6_6_vs_-2_6,Flag_A_-6_8_vs_-2_8,Flag_A_-2_10_vs_-6_10,Flag_A_-6_2_vs_-2_2,,Negative means -2 is significantly larger
3-(4-hydroxyphenyl)propionic acid (phloretic acid),2,3,3,3,3,3,3,3,3,3,3,2,13.4493329,13.5834357,13.43307214,13.66083502,13.62630136,13.64601387,13.93350819,13.8316465,13.69667155,13.46966701,14.24516392,13.8067793,0.942018436,0.013779091,0.121162343,0.281958334,0.937166633,0.694198031,0,-1,0,0,0,0,,
Alizarin,2,3,3,3,3,3,3,3,3,3,3,2,13.03925587,12.9511258,13.42509721,13.51972541,13.63011983,12.93897332,13.05093028,12.46955565,12.42859547,13.33172401,12.25019898,13.36363518,0.737929474,0.373737807,0.228844658,0.549892612,0.380322445,0.290383142,0,0,0,0,0,0,,
Ciliatine,2,3,3,3,3,3,3,3,3,3,3,2,14.23659101,14.22870113,14.38221166,13.86826032,13.79089095,15.19580813,14.34335739,13.95024013,14.52289319,14.54553891,14.40546421,14.6425703,0.475662388,0.647047609,0.268808856,0.225249497,0.001281699,0.781244762,0,0,0,0,-1,0,,
L-dithiothreitol,2,3,3,3,3,3,3,3,3,3,3,2,10.20086863,11.53822848,11.65364479,12.67984285,12.43669491,11.25917633,12.72528845,12.44739985,13.12413723,12.68804004,12.98102475,12.53827951,0.001486413,0.027962857,0.208875533,0.941583118,0.067845289,0.401951706,-1,-1,0,0,0,0,,
Possible Sterol,2,3,3,3,3,3,3,3,3,3,3,2,13.85931731,14.22038945,15.29238423,15.4561656,14.8154767,14.36343509,13.35451379,14.84416236,13.50095597,15.00999791,13.91924001,14.43796014,0.303420747,0.760723283,0.650789209,0.042645925,0.648026724,0.400091544,0,0,0,1,0,0,,
Unknown - Similarity to Oleic acid,2,3,3,3,3,3,3,3,3,3,3,2,14.95727053,15.34030852,15.1496655,15.14414823,14.85900521,15.13748436,15.39173922,15.38890356,15.04678922,15.14263556,15.39470071,15.0381002,0.377589443,0.770431224,0.207244968,0.192387378,0.144618946,0.966709957,0,0,0,0,0,0,,
Unknown 001,2,3,3,3,3,3,3,3,3,3,3,2,14.99914112,15.82638993,14.66191641,15.4266539,14.4085686,14.06522284,14.20958115,14.11503129,14.15096636,13.92147665,14.14919319,14.08005639,0.282724256,0.068441073,0.538546035,0.178311335,0.698650804,0.942893114,0,0,0,0,0,0,,
Unknown 002,2,3,3,3,3,3,3,3,3,3,3,2,20.19604545,20.18756029,20.1521125,20.2436052,20.1477301,20.23671931,20.35386575,20.42008361,20.3075742,20.46304581,20.36372378,20.43461205,0.045362109,0.131825522,0.026361198,0.337929331,0.43760355,0.323704567,-1,0,-1,0,0,0,,
Unknown 003,2,3,3,3,3,3,3,3,3,3,3,2,14.08767365,14.24809346,14.44061878,14.36898787,14.31244575,14.42194852,14.39217605,14.17382944,15.13656597,14.09534382,14.67991915,14.24004626,0.984239876,0.221723547,0.445453757,0.946769384,0.752808363,0.029051963,0,0,0,0,0,1,,
Unknown 004,2,3,3,3,3,3,3,3,3,3,3,2,18.52356241,17.77118483,16.46504958,16.42728061,16.02610742,17.83869069,16.20932837,17.85626847,17.0022132,16.26195234,16.66568335,17.79422892,0.088283973,0.340268695,0.232899906,0.849364588,0.124253105,0.538637453,0,0,0,0,0,0,,
Unknown 005,2,3,3,3,3,3,3,3,3,3,3,2,13.31240489,13.65635599,13.82526394,13.8390236,13.65648721,13.84169937,13.94688248,13.65118943,13.91044765,13.66108635,14.23957712,13.68519057,0.142199233,0.009383735,0.404673011,0.603841566,0.375783643,0.336106441,0,-1,0,0,0,0,,
Unknown 006,2,3,3,3,3,3,3,3,3,3,3,2,13.43932778,14.1741172,13.69204118,13.54717848,13.78009078,14.03496732,13.99707055,14.59441574,14.99483284,13.71621612,15.80313052,13.46541346,0.813699656,0.130967867,0.394219808,0.669043332,0.808379628,0.201265416,0,0,0,0,0,0,,
Unknown 007,2,3,3,3,3,3,3,3,3,3,3,2,11.75605986,13.15704478,14.13144093,13.98536433,13.72536563,14.47386502,13.69912207,14.39054432,13.57489962,12.74274457,14.36513866,14.01626208,0.287501131,0.149863418,0.751969309,0.727045922,0.365261989,0.630667297,0,0,0,0,0,0,,
Unknown 008,2,3,3,3,3,3,3,3,3,3,3,2,14.60725654,14.77395231,15.10381275,15.03169917,15.25195706,15.23050186,15.44426176,15.06165274,15.09914833,14.91343107,15.24762571,15.09951799,0.341804889,0.106990122,0.88245697,0.157402814,0.940009759,0.999074599,0,0,0,0,0,0,,
Unknown 009,2,3,3,3,3,3,3,3,3,3,3,2,16.12538551,15.94423738,15.68185277,15.99953215,15.97753936,16.11240911,16.50352489,15.99917185,16.0122779,15.53880888,15.90715549,15.77516235,0.06031469,0.88996169,0.243775299,0.070303492,0.615777202,0.431982142,0,0,0,0,0,0,,
Unknown 010,2,3,3,3,3,3,3,3,3,3,3,2,20.08902594,20.1703462,20.60911248,20.19983557,20.36219928,20.18565464,20.0387034,19.77722099,20.45742645,20.46366199,20.68046687,20.34200897,0.30277607,0.122439175,0.015645976,0.61690693,0.583849496,0.748183611,0,0,1,0,0,0,,
Unknown 011,2,3,3,3,3,3,3,3,3,3,3,2,16.72468186,16.64965671,16.71526188,16.89385795,16.71504246,16.91709411,17.04404157,17.03376938,16.92237858,16.62453593,17.04369446,16.83913192,0.522893035,0.009183318,0.030740762,0.288119904,0.157191299,0.594826619,0,-1,-1,0,0,0,,
Unknown 012,2,3,3,3,3,3,3,3,3,3,3,2,13.93308621,14.01952324,14.02575678,14.17197158,14.07841617,14.11186307,14.40425253,14.50049872,14.22220212,13.99649073,14.28600284,13.91653229,0.77440074,0.186514303,0.023756736,0.247300317,0.865678784,0.175779772,0,0,-1,0,0,0,,
Unknown 013,2,3,3,3,3,3,3,3,3,3,3,2,16.51478575,16.23023667,16.47443793,16.37174274,16.36815533,16.36810297,16.41729665,16.58010003,16.34679428,16.13860194,16.29525768,16.17959656,0.049277764,0.691451179,0.520194574,0.780768285,0.999744549,0.365031747,1,0,0,0,0,0,,
Unknown 014,2,3,3,3,3,3,3,3,3,3,3,2,15.69832145,15.82313211,15.84195765,15.92220334,15.76028707,16.05944915,16.24520884,16.19340334,16.09284802,16.04019146,16.20666486,16.16452229,0.08514627,0.033979394,0.050192207,0.070029826,0.091661059,0.709089369,0,-1,0,0,0,0,,
Unknown 015,2,3,3,3,3,3,3,3,3,3,3,2,14.38662293,14.20085891,14.49566923,14.29802882,14.25531799,14.27395383,14.35323165,14.45618647,14.4742592,14.56663425,14.82318482,14.66015016,0.597829957,0.050500708,0.896761015,0.856067802,0.9511576,0.586002507,0,0,0,0,0,0,,
Unknown 016,2,3,3,3,3,3,3,3,3,3,3,2,13.96559527,13.78502906,14.8150029,14.05045817,14.36799739,13.7386591,13.76756528,13.88382671,14.47776901,14.19230007,14.4285918,14.12311456,0.704975321,0.236347562,0.092051396,0.597922019,0.246538591,0.554597229,0,0,0,0,0,0,,
Unknown 017,2,3,3,3,3,3,3,3,3,3,3,2,13.72001064,14.27582406,14.35745366,14.71141972,14.16882249,14.0223315,13.64572739,14.93865685,15.26281432,14.56959213,14.37899436,15.10821976,0.297590154,0.886146655,0.423239983,0.14880013,0.838936486,0.84784991,0,0,0,0,0,0,,
Unknown 018,2,3,3,3,3,3,3,3,3,3,3,2,13.2582806,14.79382785,13.8467779,15.06000715,12.97537459,13.33805757,14.69732417,13.48409493,13.17704475,13.62096358,14.43114487,12.81436178,0.796122882,0.772727923,0.772727923,0.772727923,0.772727923,0.796122882,0,0,0,0,0,0,,
Unknown 019,2,3,3,2,3,3,3,3,3,3,2,2,12.99099756,12.97206192,13.0153358,13.3468633,13.77499273,13.44867148,13.67318455,13.34165706,13.48425574,12.6646763,13.29838317,13.81057699,0.72392767,0.72392767,0.693028098,0.72392767,0.693028098,0.72392767,0,0,0,0,0,0,,
Unknown 020,2,3,3,3,3,3,3,3,3,3,3,2,14.97374537,14.93935287,14.92804851,15.18678492,14.98873884,15.22843444,15.34188395,15.3252169,15.20766532,15.03306882,15.40831318,15.13529639,0.735188089,0.006186481,0.017696713,0.327571071,0.136023663,0.680086468,0,-1,-1,0,0,0,,
Unknown 021,2,3,3,3,3,3,3,3,3,3,3,2,15.22631722,15.45879451,15.43585944,15.82071954,15.23786002,14.65348858,15.68565963,14.80737865,15.57110343,15.00909973,15.4991118,14.89100656,0.662846985,0.927758854,0.166879655,0.761565374,0.197381482,0.180333448,0,0,0,0,0,0,,
Unknown 022,2,3,3,3,3,3,3,3,3,3,3,2,13.93025462,13.5780239,13.01410105,13.28124371,13.9569105,13.90043997,13.79693601,13.75566842,13.83427562,13.20558744,13.84660205,13.17856703,0.215243315,0.602267458,0.158438143,0.321018129,0.912485355,0.260630633,0,0,0,0,0,0,,
Unknown 023,2,3,3,3,3,3,3,3,3,3,3,2,18.41574115,18.33836452,18.68696575,18.39075115,18.59456777,18.38545856,18.455181,18.09416892,18.78619278,18.56102182,18.83529125,18.56448118,0.699224537,0.148600998,0.087921018,0.847880765,0.535216436,0.556339397,0,0,0,0,0,0,,
Unknown 024,2,3,3,3,3,3,3,3,3,3,3,2,14.1146392,14.12434748,14.02410968,14.12144587,14.02750117,14.27374543,14.29077043,14.41118195,13.91167994,14.0324455,14.15006969,14.11558746,0.748833279,0.910710699,0.1018873,0.46311877,0.289242599,0.429811498,0,0,0,0,0,0,,
Unknown 025,2,3,3,3,3,3,3,3,3,3,3,2,14.08615703,14.4751,14.25564836,14.73696201,14.57353917,14.47729169,14.8332095,14.35189584,13.81575566,13.98990955,14.57134748,13.91200315,0.8539703,0.836978708,0.836978708,0.836978708,0.836978708,0.8539703,0,0,0,0,0,0,,
Unknown 026,2,3,3,3,3,3,3,3,3,3,3,2,13.21753535,13.08403234,11.98275652,13.0502647,11.51579605,11.82602483,13.12398098,12.0338595,11.35591927,12.38658529,13.10332163,12.59793209,0.231696405,0.974821874,0.933366975,0.904010718,0.612786058,0.07953832,0,0,0,0,0,0,,
Unknown 027,2,3,3,3,3,3,3,3,3,3,3,2,14.59342675,13.89927913,12.86449357,14.36678958,14.13923507,14.34088129,14.16514337,12.66284736,13.35348885,14.79507297,13.69763291,13.15184263,0.76753597,0.741092584,0.741092584,0.741092584,0.741092584,0.76753597,0,0,0,0,0,0,,
Unknown 028,2,3,3,3,3,3,3,3,3,3,3,2,15.14741397,15.50997157,15.49975543,15.54900175,15.14849351,15.82684817,15.70051154,15.78658162,15.63743577,15.80119455,16.06339122,15.82570597,0.042218058,0.05341104,0.301584104,0.581937196,0.020280691,0.540928802,-1,0,0,0,-1,0,,
Unknown 029,2,3,3,3,3,3,3,3,3,3,3,2,13.65386854,13.27952986,13.62869098,13.71815698,13.49486887,13.93534914,13.61506988,13.76289287,13.77819742,13.81214649,13.58123789,14.04255313,0.522210741,0.179641406,0.543895167,0.640479052,0.055339681,0.289154809,0,0,0,0,0,0,,
Unknown 030,2,3,3,3,3,3,3,3,3,3,3,2,13.02734085,14.21508698,13.88076404,13.93408475,13.89186851,13.8256235,14.00032976,13.94700905,13.26813456,12.96109584,14.28133199,13.33437957,0.902886959,0.891496146,0.891496146,0.891496146,0.891496146,0.902886959,0,0,0,0,0,0,,
Unknown 031,2,3,3,3,3,3,3,3,3,3,3,2,14.38474555,14.27854001,14.56672717,14.70781991,14.65640428,14.29426907,14.70824517,14.19380777,14.51179877,14.35218405,14.69323834,14.23333545,0.89291131,0.06540915,0.095147913,0.998431271,0.104493083,0.256627887,0,0,0,0,0,0,,
Unknown 032,2,3,3,3,3,3,3,3,3,3,3,2,18.68021057,18.53240125,18.63326737,18.74289083,18.59129835,18.74355298,18.89155133,18.86309841,18.73946069,18.60580322,18.88498589,18.72165601,0.638706554,0.019399492,0.114366839,0.299108074,0.287866395,0.910333591,0,-1,0,0,0,0,,
Unknown 033,2,3,3,3,3,3,3,3,3,3,3,2,17.90349722,17.51230882,18.07643847,17.51443326,17.66752389,17.43216612,17.4004115,17.39958395,18.1175837,17.86291387,18.33329504,17.85244034,0.921221448,0.033878529,0.075525145,0.756303971,0.523294296,0.520163264,0,-1,0,0,0,0,,
Unknown 034,2,3,3,3,3,3,3,3,3,3,3,2,16.44646048,15.96792695,16.21380712,16.3770373,16.5132174,16.22444285,16.66581184,16.50258167,16.51723,16.15768594,16.2567015,16.80600454,0.268400789,0.217533232,0.217533232,0.217533232,0.217533232,0.268400789,0,0,0,0,0,0,,
Unknown 035,2,3,3,3,3,3,3,3,3,3,3,2,15.87919279,16.05536536,14.5250647,14.9203272,14.58539707,15.19316672,16.05016213,16.13150321,16.28156033,15.83881933,15.38596936,16.1958671,0.971267519,0.506509546,0.119338352,0.266614431,0.546066025,0.939064287,0,0,0,0,0,0,,
Unknown 036,2,3,3,3,3,3,3,3,3,3,3,2,15.35920567,13.64137381,15.24551243,14.02810561,15.52333464,15.26182563,14.58719902,15.54375003,16.3891968,14.84089776,15.62522759,15.32360949,0.704931555,0.114870751,0.807350359,0.648145916,0.830664379,0.438696723,0,0,0,0,0,0,,
Unknown 037,2,3,3,3,3,3,3,3,3,3,3,2,13.54038206,13.40449085,13.44423734,13.49401631,13.56832161,13.68520693,13.77559528,13.94463057,13.73184039,13.60635752,13.79867079,13.83260877,0.831831125,0.165225827,0.082042695,0.316318301,0.674498028,0.745850536,0,0,0,0,0,0,,
Unknown 038,2,3,3,3,3,3,3,3,3,3,3,2,14.64012703,14.84341726,14.81088056,14.86281952,14.86041879,14.99525361,14.89418618,15.14313685,15.26756856,14.47071183,15.1453689,14.79537944,0.642896961,0.359031279,0.313824462,0.923357582,0.679765786,0.203609891,0,0,0,0,0,0,,
Unknown 039,2,3,3,3,3,3,3,3,3,3,3,2,15.47508129,15.45981813,15.54262066,15.63597492,15.59606204,15.52720446,15.75073289,15.85800595,15.5774376,15.39400403,15.76134837,15.54116451,0.600471744,0.037848819,0.030583864,0.409440651,0.618876232,0.814283513,0,-1,-1,0,0,0,,
Unknown 040,2,3,3,3,3,3,3,3,3,3,3,2,15.4140609,16.39742582,16.03752708,16.63953947,16.28355468,15.77128207,16.44657258,15.76806346,16.24411595,15.67775676,16.11560685,15.74431635,0.596708136,0.52778864,0.545882075,0.664738148,0.256027631,0.319897126,0,0,0,0,0,0,,
Unknown 041,2,3,3,3,3,3,3,3,3,3,3,2,15.1111271,15.14585363,15.1797976,14.76458081,15.15172558,14.67151342,14.67787029,14.48289207,14.64885305,14.73375232,14.62987633,14.54298632,0.419386286,0.221592893,0.103404455,0.834519391,0.254217435,0.819559504,0,0,0,0,0,0,,
Unknown 042,2,3,3,3,3,3,3,3,3,3,3,2,15.40922041,15.42067773,15.68268365,15.88716206,15.22931109,14.9377901,16.17868305,15.97420465,15.52183527,15.11769941,15.71219873,15.81335627,0.760545462,0.733370305,0.733370305,0.733370305,0.733370305,0.760545462,0,0,0,0,0,0,,
Unknown 043,2,3,3,3,3,3,3,3,3,3,3,2,13.56911049,13.63985387,13.47897298,13.54383758,13.47675102,13.44953783,13.57105077,13.50618617,13.52865347,13.5418973,13.66706706,13.55586667,0.878306275,0.864083789,0.864083789,0.864083789,0.864083789,0.878306275,0,0,0,0,0,0,,
Unknown 044,2,3,3,3,3,3,3,3,3,3,3,2,13.85621925,13.1026106,13.31003608,13.45617526,13.44934592,13.39376751,13.51175367,13.36561449,13.66090113,13.80064083,13.15818901,13.71647954,0.914093381,0.904003177,0.904003177,0.904003177,0.904003177,0.914093381,0,0,0,0,0,0,,
Unknown 045,2,3,3,3,3,3,3,3,3,3,3,2,14.25455613,13.17689069,13.1892911,13.73195351,14.22717536,14.58544699,14.57563682,13.96548901,15.57651037,13.54149527,14.11153559,13.82224764,0.430849219,0.252151848,0.339353868,0.299942667,0.656544698,0.061033604,0,0,0,0,0,0,,
Unknown 046,2,3,3,3,3,3,3,3,3,3,3,2,11.06182705,12.24016742,12.01384145,11.9117266,12.22657306,11.97508677,12.34724126,12.01590233,11.52037566,12.00295512,12.11643077,11.80862732,0.111482347,0.809691886,0.996797534,0.400206389,0.625242543,0.616606818,0,0,0,0,0,0,,
Unknown 047,2,3,3,3,3,3,3,3,3,3,3,2,16.32614108,16.19367252,16.13706226,15.83720196,16.09289339,16.44325237,16.17866482,16.21305748,16.13550236,16.22060546,16.28478045,16.35499884,0.768036781,0.775877076,0.812238487,0.291747167,0.279678115,0.540937164,0,0,0,0,0,0,,
Unknown 048,2,3,3,3,3,3,3,3,3,3,3,2,13.99845999,13.61629481,14.08744098,13.99221442,14.75559566,14.34423961,14.40357047,14.49879703,14.38521866,13.58710394,14.02765086,14.79657471,0.58486702,0.54169895,0.54169895,0.54169895,0.54169895,0.58486702,0,0,0,0,0,0,,
Unknown 049,2,3,3,3,3,3,3,3,3,3,3,2,15.67471158,15.57886668,15.45433763,15.59168418,15.41121546,15.95722158,14.56551772,16.1253012,15.82532451,16.16219338,15.61496162,16.05420457,0.367180068,0.939932339,0.170530631,0.041341059,0.261289497,0.669734909,0,0,0,1,0,0,,
Unknown 050,2,3,3,3,3,3,3,3,3,3,3,2,13.50507711,13.46179864,13.40332562,13.55123686,13.75525805,13.764535,14.2316843,13.56161526,13.68808774,13.45823408,13.85459919,13.69858467,0.902620945,0.258333315,0.644665756,0.056837327,0.978383669,0.978123268,0,0,0,0,0,0,,
Unknown 051,2,3,3,3,3,3,3,3,3,3,3,2,14.05783619,13.82438366,13.90796672,14.4265455,15.11640918,14.65339054,14.41834627,15.34566786,14.15043481,14.16267925,14.7086771,12.86680033,0.879430667,0.161948299,0.027984705,0.989415016,0.456644427,0.073568155,0,0,-1,0,0,0,,
Unknown 052,2,3,3,3,3,3,3,3,3,3,3,2,14.33046551,13.57670619,12.7309755,13.96858937,13.55613271,14.0316542,13.85355085,14.07821738,14.03191559,14.19834791,14.41680572,14.18593126,0.82485735,0.125613724,0.018120234,0.829420691,0.377233457,0.796461274,0,0,-1,0,0,0,,
Unknown 053,2,3,3,3,3,3,3,3,3,3,3,2,12.31744081,14.33614402,14.64691487,14.35783416,13.98614546,14.94618465,14.47019408,14.82057837,13.5279389,14.29557608,14.62760203,15.24680162,0.00432232,0.605525362,0.757816472,0.841770651,0.098370864,0.011323467,-1,0,0,0,0,-1,,
Unknown 054,2,3,3,3,3,3,3,3,3,3,3,2,21.1276776,20.79349294,20.95498985,20.58421776,20.76467908,20.804054,19.85294777,20.94248866,20.63366367,21.58717495,20.60857711,21.15241825,0.413694838,0.711342265,0.980009549,0.152394377,0.937098956,0.357107147,0,0,0,0,0,0,,
Unknown 055,2,3,3,3,3,3,3,3,3,3,3,2,16.44631663,16.61569087,16.60724952,16.80851783,16.74624755,16.42851353,16.36318656,16.98360444,16.91264077,16.74590674,16.40165192,16.80486551,0.549725287,0.632283627,0.402704546,0.323638118,0.478885057,0.829014459,0,0,0,0,0,0,,
Unknown 056,2,3,3,3,3,3,3,3,3,3,3,2,12.81668355,13.69101264,13.55277819,13.79967048,13.75254886,13.82157941,13.98080633,14.38711197,13.90955684,14.21727641,14.37747645,14.52701291,0.007083084,0.117975219,0.060650252,0.671869425,0.871531095,0.204060441,-1,0,0,0,0,0,,
Unknown 057,2,3,3,3,3,3,3,3,3,3,3,2,15.39859443,15.16330416,15.25320664,15.32359163,15.22798904,15.37845795,15.41869209,15.65199953,15.23832859,15.25731021,15.52920203,15.10861334,0.475069414,0.047017821,0.031753201,0.589957871,0.396213397,0.511583707,0,-1,-1,0,0,0,,
Unknown 058,2,3,3,3,3,3,3,3,3,3,3,2,14.64590387,14.69081653,14.74228546,15.08584207,14.44988101,14.70704169,14.88863467,14.86840867,14.75986886,14.81425129,15.10155393,14.08977635,0.508098998,0.080035583,0.578779076,0.387774071,0.262895215,0.013742467,0,0,0,0,0,1,,
Unknown 059,2,3,3,3,3,3,3,3,3,3,3,2,10.67205625,12.6970492,13.39403873,13.57021416,12.42585185,13.26973266,13.71436303,13.53606878,13.1471535,13.9022708,13.1248863,13.56983738,0.000444447,0.547551692,0.841163846,0.838828775,0.241050105,0.594764327,-1,0,0,0,0,0,,
Unknown 060,2,3,3,3,3,3,3,3,3,3,3,2,14.00673261,13.75710405,13.5891894,14.05480321,13.78127122,13.96051504,14.03653293,14.31892702,13.88971738,14.10160552,14.09301823,13.70727325,0.776161952,0.266770683,0.021492321,0.951142868,0.54940661,0.585482435,0,0,-1,0,0,0,,
Unknown 061,2,3,3,3,3,3,3,3,3,3,3,2,14.6890454,14.10841156,14.51644392,14.19978979,14.68853193,14.42211051,14.08892646,15.58212584,14.49835595,14.91376884,15.36907295,14.40853883,0.764842828,0.070684859,0.122591718,0.868860271,0.691972396,0.904753334,0,0,0,0,0,0,,
Unknown 062,2,3,3,3,3,3,3,3,3,3,3,2,12.45000947,13.20159035,12.84656869,12.95097633,12.82117125,13.03250519,12.86097345,13.49751652,13.57826982,13.21058812,13.55941272,13.35543726,0.156179059,0.448150211,0.173991953,0.847756405,0.652764901,0.671252101,0,0,0,0,0,0,,
Unknown 063,2,3,3,3,3,3,3,3,3,3,3,2,12.52923352,13.11013415,12.92266909,13.32580146,13.65735472,14.04914206,14.22675788,14.15311611,13.76056849,13.47361612,13.75357267,14.00843306,0.119245565,0.229907453,0.02747618,0.097803402,0.46007756,0.674625119,0,0,-1,0,0,0,,
Unknown 064,1,3,3,3,3,3,3,3,3,3,3,1,12.97356178,12.26071635,10.40265077,13.467264,13.04423647,13.4930229,13.77099523,13.4853273,13.38828873,11.29723506,13.65360749,13.60628486,0.086047505,0.046536933,0.000138732,0.648587904,0.502043058,0.816739833,0,-1,-1,0,0,0,,
Unknown 065,2,3,3,3,3,3,3,3,3,3,3,2,14.69174968,14.46845188,14.92463199,14.23267457,14.75549037,14.25704131,13.74933135,14.44234608,14.28590378,15.14368995,14.50250733,14.67868209,0.213192709,0.914970571,0.14038176,0.139556311,0.128193711,0.277232168,0,0,0,0,0,0,,
Unknown 066,2,3,3,3,3,3,3,3,3,3,3,2,14.1958188,14.2098499,14.4066048,14.37777937,14.75227574,14.49406543,14.63598968,14.66481511,13.67242419,13.93760849,14.46806022,13.93063451,0.819337867,0.798478474,0.798478474,0.798478474,0.798478474,0.819337867,0,0,0,0,0,0,,
Unknown 067,2,3,3,3,3,3,3,3,3,3,3,2,15.0254641,14.08307479,14.02752549,13.26410962,13.74831787,13.86987594,14.68580825,14.39868865,13.68617745,13.329247,14.77658593,11.71156233,0.132118792,0.48220552,0.705690931,0.156934388,0.901422215,0.082306761,0,0,0,0,0,0,,
Unknown 068,2,3,3,3,3,3,3,3,3,3,3,2,15.65143985,14.70373832,15.23761723,15.60397417,14.49829582,14.16632543,14.17166421,15.03734405,14.66551367,14.28134287,15.39979839,15.62336208,0.322555474,0.571258901,0.870152411,0.249518842,0.786536286,0.486698717,0,0,0,0,0,0,,
Unknown 069,2,3,3,3,3,3,3,3,3,3,3,2,16.18063696,15.38867571,16.14972517,16.53935877,15.84914402,14.18304732,15.04958969,13.56437505,15.97996166,15.23951169,14.39325809,16.47218805,0.484806962,0.409785824,0.040037205,0.221722523,0.173559926,0.713709332,0,0,1,0,0,0,,
Unknown 070,2,3,3,3,3,3,3,3,3,3,3,2,14.2638261,13.59361836,13.94567863,13.00424428,13.83607155,13.26761076,12.68190188,13.09292734,13.00485304,14.41126636,13.08316466,13.84780662,0.812003958,0.361577101,0.133843592,0.562265905,0.310710274,0.182596187,0,0,0,0,0,0,,
Unknown 071,2,3,3,3,3,3,3,3,3,3,3,2,16.52058489,17.04259443,16.66941422,15.99053357,16.2152035,16.6582159,15.8981326,16.70337125,16.45612068,17.91315323,16.75399404,16.4535776,0.024817467,0.582379056,0.948231792,0.859807091,0.400803591,0.99652973,-1,0,0,0,0,0,,
Unknown 072,2,3,3,3,3,3,3,3,3,3,3,2,13.96937755,15.44025165,15.59831414,15.32175212,14.24441351,16.15885475,14.95546696,16.22140791,14.59388574,15.11052035,14.3322458,15.81403485,0.228669856,0.192576151,0.457709858,0.661113922,0.029846576,0.199097976,0,0,0,0,-1,0,,
Unknown 073,2,3,3,3,3,3,3,3,3,3,3,2,14.94240744,15.02273281,15.52103048,15.30219345,14.97731553,14.4504438,15.3597288,15.41555138,15.23131575,13.69593236,14.56360199,15.77425838,0.133706523,0.527976518,0.884220045,0.936678273,0.469579988,0.504676731,0,0,0,0,0,0,,
Unknown 074,2,3,3,3,3,3,3,3,3,3,3,2,15.19394134,15.11843262,15.36880542,15.32674863,15.60778686,15.19156062,15.47963073,15.25502035,15.43128679,15.26106932,15.52514123,15.39886641,0.838060117,0.175192256,0.69888049,0.603741263,0.16572339,0.921342698,0,0,0,0,0,0,,
Unknown 075,2,3,3,3,3,3,3,3,3,3,3,2,15.48436193,15.46952758,15.80924679,15.43934442,15.56129297,15.47192459,15.34045804,15.10034759,15.84872078,15.87796632,15.15469572,15.84467343,0.099909118,0.13878511,0.002234809,0.634244213,0.667068577,0.986067647,0,0,1,0,0,0,,
Unknown 076,2,3,3,3,3,3,3,3,3,3,3,2,16.01038842,15.78382583,15.8971746,16.05445137,15.88902413,16.06924096,16.16588552,16.24628939,16.01460925,16.00100482,16.23976147,16.01332182,0.950975228,0.002708276,0.016831756,0.417856641,0.195427466,0.99326939,0,-1,-1,0,0,0,,
Unknown 077,2,3,3,3,3,3,3,3,3,3,3,2,15.52238081,15.26757924,15.58806082,15.89900874,15.26343661,15.58012844,15.58231691,15.27136898,15.3860378,15.83907264,14.95088741,15.06934597,0.688933051,0.654625306,0.654625306,0.654625306,0.654625306,0.688933051,0,0,0,0,0,0,,
Unknown 078,2,3,3,3,3,3,3,3,3,3,3,2,15.18909957,15.05760142,15.09248523,15.33217315,15.11588947,15.33044404,15.40664264,15.54672289,15.26693467,15.2660328,15.5551076,15.26742216,0.663114998,0.004205615,0.008026791,0.637454806,0.182423878,0.997792761,0,-1,-1,0,0,0,,
Unknown 079,2,3,3,3,3,3,3,3,3,3,3,2,16.21287084,15.9948477,15.77598709,15.63872379,16.36604929,15.22465411,15.50116805,15.26917927,15.3477372,16.35233641,16.22717563,17.11298919,0.864749628,0.751263001,0.491158281,0.851021919,0.129095825,0.040132823,0,0,0,0,0,-1,,
Unknown 080,2,3,3,3,3,3,3,3,3,3,3,2,14.43625906,12.70105603,12.84915442,13.84788423,13.96599672,13.48140291,13.53033907,13.58617912,13.89029539,14.3012001,14.03957512,14.17495978,0.854935965,0.052500108,0.271214442,0.631588438,0.46589445,0.700365054,0,0,0,0,0,0,,
Unknown 081,2,3,3,3,3,3,3,3,3,3,3,2,18.5615352,18.26854177,18.8885133,17.93421461,18.72656894,17.89226258,17.48555783,18.1064028,18.05673302,18.68306299,18.02272297,18.56941982,0.799906009,0.567677349,0.078394212,0.301112257,0.06165434,0.29082923,0,0,0,0,0,0,,
Unknown 082,2,3,3,3,3,3,3,3,3,3,3,2,14.73294365,14.93682079,14.96694921,15.19771013,14.52185556,15.01093607,14.70862962,14.4778687,15.43668248,15.22202416,14.44774028,14.94760197,0.474765274,0.42490364,0.42490364,0.42490364,0.42490364,0.474765274,0,0,0,0,0,0,,
